Year,Sex,Age,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
1981,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,46.8
1982,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.7
1983,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,30.0
1984,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,29.5
1985,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.0
1986,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,52.0
1987,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,40.8
1988,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,42.4
1989,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.3
1990,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,23.9
1991,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,25.3
1992,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,37.6
1993,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,32.1
1994,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,36.7
1995,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,32.3
1996,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,41.6
1997,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,29.2
1998,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,30.4
1999,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,25.8
2000,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,26.1
2001,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,28.8
2002,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,26.1
2003,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,29.9
2004,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,34.5
2005,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,30.8
2006,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,25.9
2007,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.5
2008,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.3
2009,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.8
2010,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,27.1
2011,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.6
2012,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.1
2013,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,22.8
2014,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.5
2015,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,25.7
2016,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,21.7
2017,Male,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.0
1981,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.4
1982,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.9
1983,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.0
1984,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.3
1985,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.7
1986,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
1987,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.9
1988,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.3
1989,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.6
1990,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.9
1991,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.2
1992,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.0
1993,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.9
1994,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.6
1995,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.3
1996,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,2.3
1997,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.7
1998,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.3
1999,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.0
2000,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.4
2001,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.1
2002,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.9
2003,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.0
2004,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.2
2005,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.8
2006,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.8
2007,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,3.4
2008,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.0
2009,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.8
2010,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.6
2011,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.6
2012,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
2013,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.6
2014,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
2015,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.3
2016,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.8
2017,Female,90 and over,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.8
1981,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.9
1982,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.7
1983,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.8
1984,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.3
1985,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.7
1986,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.2
1987,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.1
1988,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.3
1989,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.5
1990,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.2
1991,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.0
1992,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.4
1993,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.1
1994,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.1
1995,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.6
1996,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.3
1997,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.0
1998,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.3
1999,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.0
2000,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.5
2001,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.0
2002,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.7
2003,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.3
2004,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.2
2005,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.1
2006,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.5
2007,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.5
2008,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.4
2009,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.5
2010,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.0
2011,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.1
2012,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.1
2013,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.7
2014,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.9
2015,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.4
2016,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.8
2017,,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.2
1981,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.1
1982,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.8
1983,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.4
1984,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.5
1985,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.5
1986,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.6
1987,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.3
1988,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.5
1989,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.7
1990,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.1
1991,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.5
1992,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.4
1993,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.7
1994,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.0
1995,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.5
1996,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.3
1997,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.5
1998,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.2
1999,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.6
2000,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.3
2001,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.8
2002,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.2
2003,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.1
2004,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.0
2005,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.9
2006,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.9
2007,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.7
2008,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.8
2009,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.8
2010,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.9
2011,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.0
2012,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.0
2013,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.1
2014,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.3
2015,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.3
2016,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.8
2017,Male,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.3
1981,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.6
1982,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.6
1986,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.8
1987,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.8
1988,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.9
1991,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.4
1995,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.6
1997,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.4
1999,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.3
2000,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.5
2003,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.2
2004,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.1
2008,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.1
2011,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.1
2015,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.3
2016,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.4
2017,Female,15 to 19,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.8
1981,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.5
1982,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.6
1983,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.5
1984,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.2
1985,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.9
1986,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.9
1987,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.3
1988,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.2
1989,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.5
1990,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.2
1991,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.1
1992,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.3
1993,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.6
1994,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.2
1995,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.1
1996,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.3
1997,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.4
1998,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.9
1999,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,22.1
2000,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.1
2001,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.7
2002,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.7
2003,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,23.8
2004,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.2
2005,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.0
2006,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.4
2007,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.0
2008,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.9
2009,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.8
2010,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.7
2011,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.2
2012,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.3
2013,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.9
2014,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.2
2015,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.8
2016,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.2
2017,,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.5
1981,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.8
1982,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.2
1983,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,21.2
1984,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.6
1985,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.2
1986,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.9
1987,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.0
1988,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.4
1989,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.1
1990,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.3
1991,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,21.2
1992,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.4
1993,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,30.7
1994,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,29.7
1995,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,24.3
1996,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,35.5
1997,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,31.5
1998,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,33.9
1999,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,42.3
2000,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,26.1
2001,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,22.4
2002,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,26.5
2003,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,34.3
2004,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.1
2005,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.7
2006,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.5
2007,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.9
2008,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.6
2009,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.4
2010,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.0
2011,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.3
2012,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.6
2013,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.8
2014,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.2
2015,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.7
2016,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.5
2017,Male,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.6
1981,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.0
1985,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.7
1987,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.6
1988,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.8
1989,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,2.9
1991,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.9
1992,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.0
1993,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.1
1994,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.2
1995,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.5
1996,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.6
1997,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.8
1998,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.5
2000,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.0
2001,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.0
2002,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.0
2003,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.3
2006,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.2
2008,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.0
2009,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.0
2011,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.8
2012,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.7
2013,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.7
2015,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.8
2016,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.8
2017,Female,20 to 24,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.1
1981,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.3
1982,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.3
1983,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.2
1984,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.9
1985,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.1
1986,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.4
1987,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.0
1988,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.4
1989,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.5
1990,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.5
1991,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.9
1992,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.2
1993,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.1
1994,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.6
1995,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.9
1996,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.6
1997,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.3
1998,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.2
1999,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,23.5
2000,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.3
2001,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.9
2002,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.8
2003,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,25.0
2004,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.7
2005,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.9
2006,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.4
2007,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.3
2008,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.5
2009,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.8
2010,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.6
2011,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.0
2012,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.3
2013,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.1
2014,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.8
2015,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.9
2016,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.9
2017,,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.6
1981,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.4
1982,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.8
1983,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.8
1984,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.4
1985,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.0
1986,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.6
1987,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.0
1988,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,22.3
1989,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.3
1990,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,26.7
1991,Male,25 to 29,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,25.2
