Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2011-2015,Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,14.54732749
2012-2016,Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,12.91028674
2013-2017,Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,11.35662491
2014-2018,Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,9.849238381
2015-2019,Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,9.344483283
2016-2020,Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,9.282157546
2017-2021,Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,9.982227748
1984-1988,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,17.33364233
1985-1989,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,22.20713982
1986-1990,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,24.02417479
1998-2002,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,13.37898046
1999-2003,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,10.43174432
2009-2013,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,10.27665954
2010-2014,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,11.78956992
2011-2015,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,14.99215399
2012-2016,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,17.8713321
2013-2017,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,22.53513162
2014-2018,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,24.3367415
2015-2019,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,23.68242547
2016-2020,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,24.4883869
2017-2021,Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,24.77729483
1984-1988,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,107.4193472
1985-1989,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,112.8503369
1986-1990,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,113.1740556
1998-2002,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,108.7111992
1999-2003,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,108.4169759
2009-2013,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,92.83502031
2010-2014,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,92.25720444
2011-2015,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,100.4231268
2012-2016,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,99.93379678
2013-2017,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,112.97947
2014-2018,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,113.12111
2015-2019,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,114.0627706
2016-2020,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,113.5574943
2017-2021,Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,113.3407092
2001-2005 (baseline),Open water area,Ephemeral,2060054000 (Outer Hebrides),Square km,Normal value,Units,9.635475692
2001-2005 (baseline),Open water area,Seasonal,2060054000 (Outer Hebrides),Square km,Normal value,Units,5.699990974
2001-2005 (baseline),Open water area,Permanent,2060054000 (Outer Hebrides),Square km,Normal value,Units,103.5915255
1984-1988,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.003856275
1985-1989,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005211182
1986-1990,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005211182
1998-2002,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.002084473
1999-2003,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.002918262
2009-2013,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.003647827
2010-2014,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.002501367
2011-2015,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.002501367
2012-2016,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.002397144
2013-2017,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.001771802
2014-2018,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.001876026
2015-2019,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.002188696
2016-2020,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.00229292
2017-2021,Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.001354907
1984-1988,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.004168946
1985-1989,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005836524
1986-1990,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005106958
1998-2002,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005940748
1999-2003,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005315406
2009-2013,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005106958
2010-2014,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.00687876
2011-2015,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.00687876
2012-2016,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.006149195
2013-2017,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005940748
2014-2018,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.004898511
2015-2019,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.003126709
2016-2020,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.005523853
2017-2021,Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.006566089
1984-1988,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.029807962
1985-1989,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.031058645
1986-1990,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.030224856
1998-2002,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.032205105
1999-2003,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.031996658
2009-2013,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.02376299
2010-2014,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.023137648
2011-2015,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.031788211
2012-2016,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.032517776
2013-2017,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.034810696
2014-2018,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.035957156
2015-2019,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.037624735
2016-2020,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.035123367
2017-2021,Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.035644486
2001-2005 (baseline),Open water area,Ephemeral,2060054130 (Sule Skerry),Square km,Normal value,Units,0.000521118
2001-2005 (baseline),Open water area,Seasonal,2060054130 (Sule Skerry),Square km,Normal value,Units,0.002084473
2001-2005 (baseline),Open water area,Permanent,2060054130 (Sule Skerry),Square km,Normal value,Units,0.032309329
1984-1988,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,1.592224577
1985-1989,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,1.988795534
1986-1990,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,1.733030717
1998-2002,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,3.031761519
1999-2003,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,3.17975909
2009-2013,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.660516906
2010-2014,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.508350389
2011-2015,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.367752696
2012-2016,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.447900677
2013-2017,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.484587399
2014-2018,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.531904932
2015-2019,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.649573424
2016-2020,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.692722012
2017-2021,Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.619765462
1984-1988,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.282185086
1985-1989,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.263945949
1986-1990,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.411318178
1998-2002,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,1.202949275
1999-2003,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,1.060996674
2009-2013,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,1.683732935
2010-2014,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,1.830792493
2011-2015,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.025273809
2012-2016,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.200577975
2013-2017,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.324291438
2014-2018,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.44112614
2015-2019,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.354724741
2016-2020,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.529612012
2017-2021,Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,2.873237359
1984-1988,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,27.99916027
1985-1989,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.73008067
1986-1990,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.86463339
1998-2002,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.1085951
1999-2003,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.02532041
2009-2013,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,27.9909266
2010-2014,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.01052065
2011-2015,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.65827058
2012-2016,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.67213233
2013-2017,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.67379991
2014-2018,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.55925812
2015-2019,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.57353676
2016-2020,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.4405474
2017-2021,Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,28.37394849
2001-2005 (baseline),Open water area,Ephemeral,2060054140 (Orkney),Square km,Normal value,Units,2.546704689
2001-2005 (baseline),Open water area,Seasonal,2060054140 (Orkney),Square km,Normal value,Units,0.1745746
2001-2005 (baseline),Open water area,Permanent,2060054140 (Orkney),Square km,Normal value,Units,26.24820309
1984-1988,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000521118
1985-1989,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001771802
1986-1990,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001771802
1998-2002,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.004794288
1999-2003,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.005211182
2009-2013,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.004273169
2010-2014,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.005419629
2011-2015,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.005211182
2012-2016,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.004377393
2013-2017,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.004064722
2014-2018,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.003126709
2015-2019,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.002501367
2016-2020,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001667578
2017-2021,Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001667578
1984-1988,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.0057323
1985-1989,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.004481617
1986-1990,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.00458584
1998-2002,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001667578
1999-2003,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.00114646
2009-2013,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001042236
2010-2014,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001250684
2011-2015,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001354907
2012-2016,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001876026
2013-2017,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.00229292
2014-2018,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.003335157
2015-2019,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.003856275
2016-2020,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.00458584
2017-2021,Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.00458584
1984-1988,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000416895
1985-1989,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000416895
1986-1990,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000312671
1998-2002,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000312671
1999-2003,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000312671
2009-2013,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000416895
2010-2014,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000521118
2011-2015,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000625342
2012-2016,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000938013
2013-2017,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000833789
2014-2018,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000729565
2015-2019,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000833789
2016-2020,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001042236
2017-2021,Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001042236
2001-2005 (baseline),Open water area,Ephemeral,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.004168946
2001-2005 (baseline),Open water area,Seasonal,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.001563355
2001-2005 (baseline),Open water area,Permanent,2060054780 (Northern Ireland near Garvagh Lough),Square km,Normal value,Units,0.000521118
1984-1988,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.137158313
1985-1989,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.113082651
1986-1990,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.110685508
1998-2002,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.265144945
1999-2003,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.258161961
2009-2013,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.149039808
2010-2014,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.133510485
2011-2015,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.128716198
2012-2016,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.106203891
2013-2017,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.107663022
2014-2018,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.098491342
2015-2019,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.104432089
2016-2020,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.117460044
2017-2021,Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.124026134
1984-1988,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.179368888
1985-1989,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.216785175
1986-1990,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.236691891
1998-2002,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.129133092
1999-2003,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.129966881
2009-2013,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.164569131
2010-2014,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.195731999
2011-2015,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.228458223
2012-2016,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.263373143
2013-2017,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.276505322
2014-2018,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.28703191
2015-2019,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.286093897
2016-2020,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.275567309
2017-2021,Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.293702223
1984-1988,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.204173266
1985-1989,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.231584084
1986-1990,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.393860294
1998-2002,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.076290857
1999-2003,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.079104896
2009-2013,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.467963304
2010-2014,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.526120096
2011-2015,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.531539725
2012-2016,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.532060843
2013-2017,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.536959355
2014-2018,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.538939604
2015-2019,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.537272025
2016-2020,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.538105815
2017-2021,Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.527475003
2001-2005 (baseline),Open water area,Ephemeral,2060054790 (Lough Melvin),Square km,Normal value,Units,0.101096933
2001-2005 (baseline),Open water area,Seasonal,2060054790 (Lough Melvin),Square km,Normal value,Units,0.144349744
2001-2005 (baseline),Open water area,Permanent,2060054790 (Lough Melvin),Square km,Normal value,Units,4.564995514
1984-1988,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,3.917766698
1985-1989,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,3.437504156
1986-1990,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,3.366944751
1998-2002,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,5.671746367
1999-2003,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,5.939705351
2009-2013,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,8.122356859
2010-2014,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,7.748402432
2011-2015,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,6.866774645
2012-2016,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,5.815262322
2013-2017,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,4.878500229
2014-2018,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,4.45983386
2015-2019,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,5.064747877
2016-2020,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,5.144791634
2017-2021,Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,5.392427007
1984-1988,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,6.703664646
1985-1989,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,7.575808081
1986-1990,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,9.037231987
1998-2002,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,4.737589865
1999-2003,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,4.290678889
2009-2013,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,4.886421226
2010-2014,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,6.095728142
2011-2015,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,7.580289697
2012-2016,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,9.681334094
2013-2017,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,11.07094791
2014-2018,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,12.20813207
2015-2019,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,12.09046358
2016-2020,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,11.9776936
2017-2021,Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,11.54130921
1984-1988,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,125.8621375
1985-1989,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,126.1186319
1986-1990,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,130.9567976
1998-2002,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,126.3241609
1999-2003,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,126.007321
2009-2013,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,126.4733049
2010-2014,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,129.2281442
2011-2015,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,132.8133333
2012-2016,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,132.2973221
2013-2017,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,132.3975852
2014-2018,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,131.9976791
2015-2019,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,131.2367423
2016-2020,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,131.4303898
2017-2021,Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,131.98413
2001-2005 (baseline),Open water area,Ephemeral,2060055310 (Erne),Square km,Normal value,Units,4.442532735
2001-2005 (baseline),Open water area,Seasonal,2060055310 (Erne),Square km,Normal value,Units,3.561321843
2001-2005 (baseline),Open water area,Permanent,2060055310 (Erne),Square km,Normal value,Units,132.7637229
1984-1988,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.260480725
1985-1989,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.200135236
1986-1990,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.013470694
1998-2002,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.593787932
1999-2003,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.592641472
2009-2013,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.43776514
2010-2014,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.375230955
2011-2015,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.22744183
2012-2016,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.05401369
2013-2017,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.03712946
2014-2018,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.060162885
2015-2019,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.096536936
2016-2020,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.126866016
2017-2021,Open water area,Ephemeral,2060055320 (North West Northern Ireland),Square km,Normal value,Units,1.187419952
1984-1988,Open water area,Seasonal,2060055320 (North West Northern Ireland),Square km,Normal value,Units,0.814611985
