Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnic Group,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1192.0
2014,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1169.0
2015,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1068.0
2016,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1308.0
2017,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1452.0
2018,Number of cases,,,,,P. falciparum,,,,,Undefined,Units,Number,,1375.0
2000,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,322.0
2001,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,261.0
2002,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,284.0
2003,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,205.0
2004,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,276.0
2005,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,258.0
2006,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,217.0
2007,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,256.0
2008,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,177.0
2009,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,205.0
2010,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,348.0
2011,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,415.0
2012,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,270.0
2013,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,179.0
2014,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,225.0
2015,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,207.0
2016,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,166.0
2017,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,164.0
2018,Number of cases,,,,,P. vivax,,,,,Undefined,Units,Number,,143.0
2000,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,123.0
2001,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,157.0
2002,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,133.0
2003,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,134.0
2004,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,120.0
2005,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,116.0
2006,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,106.0
2007,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,108.0
2008,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,76.0
2009,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,69.0
2010,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,99.0
2011,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,77.0
2012,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,66.0
2013,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,78.0
2014,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,130.0
2015,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,95.0
2016,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,88.0
2017,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,108.0
2018,Number of cases,,,,,P. ovale,,,,,Undefined,Units,Number,,117.0
2000,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,30.0
2001,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,37.0
2002,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,43.0
2003,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,27.0
2004,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,28.0
2005,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,29.0
2006,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,24.0
2007,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,30.0
2008,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,20.0
2009,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,36.0
2010,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,37.0
2011,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,31.0
2012,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,32.0
2013,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,39.0
2014,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,41.0
2015,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,23.0
2016,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,41.0
2017,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,55.0
2018,Number of cases,,,,,P. malariae,,,,,Undefined,Units,Number,,36.0
2000,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2001,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2002,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2003,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2004,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2005,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2006,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,1.0
2007,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2008,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2009,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2010,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2011,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2012,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2013,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2014,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,0.0
2016,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,1.0
2017,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,2.0
2018,Number of cases,,,,,P. knowlesi,,,,,Undefined,Units,Number,,2.0
2000,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,16.0
2001,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,16.0
2002,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,13.0
2003,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,15.0
2004,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,12.0
2005,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,10.0
2006,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,20.0
2007,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,15.0
2008,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,9.0
2009,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,6.0
2010,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,12.0
2011,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,4.0
2012,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,7.0
2013,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,13.0
2014,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,21.0
2015,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,7.0
2016,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,13.0
2017,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,11.0
2018,Number of cases,,,,,Mixed,,,,,Undefined,Units,Number,,9.0
2000,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2001,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2002,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,2.0
2003,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2004,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2005,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,3.0
2006,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2007,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2008,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2009,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2010,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2011,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2012,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2013,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2014,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2015,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2016,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2017,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,0.0
2018,Number of cases,,,,,P. unspecified,,,,,Undefined,Units,Number,,1.0
2000,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,2031.0
2001,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,2035.0
2002,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1931.0
2003,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1704.0
2004,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1651.0
2005,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1743.0
2006,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1746.0
2007,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1542.0
2008,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1364.0
2009,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1489.0
2010,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1752.0
2011,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1665.0
2012,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1375.0
2013,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1494.0
2014,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1583.0
2015,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1394.0
2016,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1612.0
2017,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1786.0
2018,Number of cases,,,,,,Non-fatal,,,,Undefined,Units,Number,,1677.0
2014,Number of cases,,,,,,,,,,Undefined,Units,Number,,1582.0
2014,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,37.0
2014,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,42.0
2014,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,52.0
2014,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,92.0
2014,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,132.0
2014,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,153.0
2014,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,173.0
2014,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,145.0
2014,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,167.0
2014,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,189.0
2014,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,146.0
2014,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,108.0
2014,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,62.0
2014,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,44.0
2014,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,40.0
2014,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,1083.0
2014,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,19.0
2014,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,23.0
2014,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,30.0
2014,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,61.0
2014,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,93.0
2014,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,104.0
2014,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,126.0
2014,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,114.0
2014,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,105.0
2014,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,135.0
2014,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,105.0
2014,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,74.0
2014,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,42.0
2014,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,27.0
2014,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,25.0
2014,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,499.0
2014,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,18.0
2014,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,19.0
2014,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,22.0
2014,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,31.0
2014,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,39.0
2014,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,49.0
2014,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,47.0
2014,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,31.0
2014,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,62.0
2014,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,54.0
2014,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,41.0
2014,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,34.0
2014,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,20.0
2014,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,17.0
2014,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,15.0
2015,Number of cases,,,,,,,,,,Undefined,Units,Number,,1391.0
2015,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,21.0
2015,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,32.0
2015,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,60.0
2015,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,89.0
2015,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,112.0
2015,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,107.0
2015,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,136.0
2015,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,139.0
2015,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,160.0
2015,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,163.0
2015,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,142.0
2015,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,96.0
2015,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,55.0
2015,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,45.0
2015,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,34.0
2015,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,954.0
2015,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,14.0
2015,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,20.0
2015,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,33.0
2015,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,65.0
2015,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,82.0
2015,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,67.0
2015,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,102.0
2015,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,98.0
2015,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,119.0
2015,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,116.0
2015,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,92.0
2015,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,58.0
2015,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,40.0
2015,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,28.0
2015,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,20.0
2015,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,437.0
2015,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,7.0
2015,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,12.0
2015,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,27.0
2015,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,24.0
2015,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,30.0
2015,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,40.0
2015,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,34.0
2015,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,41.0
2015,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,41.0
2015,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,47.0
2015,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,50.0
2015,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,38.0
2015,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,15.0
2015,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,17.0
2015,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,14.0
2016,Number of cases,,,,,,,,,,Undefined,Units,Number,,1613.0
2016,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,25.0
2016,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,23.0
2016,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,54.0
2016,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,87.0
2016,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,123.0
2016,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,152.0
2016,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,154.0
2016,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,179.0
2016,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,186.0
2016,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,191.0
2016,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,168.0
2016,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,116.0
2016,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,67.0
2016,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,31.0
2016,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,57.0
2016,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,1044.0
2016,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,20.0
2016,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,10.0
2016,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,29.0
2016,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,55.0
2016,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,77.0
2016,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,87.0
2016,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,102.0
2016,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,126.0
2016,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,122.0
2016,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,135.0
2016,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,118.0
2016,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,80.0
2016,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,37.0
2016,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,17.0
2016,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,29.0
2016,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,569.0
2016,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,5.0
2016,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,13.0
2016,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,25.0
2016,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,32.0
2016,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,46.0
2016,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,65.0
2016,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,52.0
2016,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,53.0
2016,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,64.0
2016,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,56.0
2016,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,50.0
2016,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,36.0
2016,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,30.0
2016,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,14.0
2016,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,28.0
2017,Number of cases,,,,,,,,,,Undefined,Units,Number,,1778.0
2017,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,39.0
2017,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,53.0
2017,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,61.0
2017,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,75.0
2017,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,117.0
2017,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,149.0
2017,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,169.0
2017,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,162.0
2017,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,196.0
2017,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,205.0
2017,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,199.0
2017,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,156.0
2017,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,92.0
2017,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,48.0
2017,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,57.0
2017,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,1188.0
2017,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,20.0
2017,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,28.0
2017,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,41.0
2017,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,52.0
2017,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,73.0
2017,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,100.0
2017,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,106.0
2017,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,121.0
2017,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,142.0
2017,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,142.0
2017,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,138.0
2017,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,103.0
2017,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,64.0
2017,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,26.0
2017,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,32.0
2017,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,590.0
2017,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,19.0
2017,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,25.0
2017,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,20.0
2017,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,23.0
2017,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,44.0
2017,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,49.0
2017,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,63.0
2017,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,41.0
2017,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,54.0
2017,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,63.0
2017,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,61.0
2017,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,53.0
2017,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,28.0
2017,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,22.0
2017,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,25.0
2018,Number of cases,,,,,,,,,,Undefined,Units,Number,,1678.0
2018,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,31.0
2018,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,46.0
2018,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,69.0
2018,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,78.0
2018,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,94.0
2018,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,121.0
2018,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,161.0
2018,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,175.0
2018,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,199.0
2018,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,215.0
2018,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,176.0
2018,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,137.0
2018,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,79.0
2018,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,49.0
2018,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,48.0
2018,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,1072.0
2018,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,19.0
2018,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,26.0
