Year,Units,Decent homes criteria,Urbanisation sub-category,Sub-national area,Age of oldest person,Age of youngest person,Income group,Disability status,Ethnicity of household reference person (HRP),Unit measure,Observation status,Unit multiplier,Value
2015,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,6.812359642889065
2016,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,5.887781309246946
2017,Household (%),Repair,,,,,,,Asian,Percentage (%),Undefined,Units,5.297456890903115
2008,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,6.579491158573935
2009,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,8.928081558179734
2010,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,8.282
2011,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,8.02
2012,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,7.448
2013,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,5.283739193656156
2014,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,6.329457294247423
2015,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,5.708203103464363
2016,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,2.6978232718591744
2017,Household (%),Repair,,,,,,,Black,Percentage (%),Undefined,Units,2.8718020937289706
2008,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,8.39434117157541
2009,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,6.082423991282597
2011,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,6.545
2012,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,6.182
2013,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,5.231308522107026
2014,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,5.795378708770719
2015,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,3.093952113598793
2016,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,0.639072509247008
2017,Household (%),Repair,,,,,,,Other,Percentage (%),Undefined,Units,2.5095416062652807
2008,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,8.22993795253604
2009,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,7.137581876164077
2010,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,6.445
2011,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,6.801
2012,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,6.719
2013,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,5.810232468675584
2014,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,6.710988692149595
2015,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,5.508679822806095
2016,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,3.525184827962807
2017,Household (%),Repair,,,,,,,All minority,Percentage (%),Undefined,Units,3.811745528883341
2008,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,6.371651786617567
2009,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,6.06908139075801
2010,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,5.585
2011,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,5.233
2012,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.751
2013,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.624968300853928
2014,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.553806988855512
2015,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.048400729373325
2016,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,3.869953757768575
2017,Dwelling (%),Repair,,,,,,,,Percentage (%),Undefined,Units,3.6172469335710127
2008,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,6.043690933807301
2009,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,5.693213048980612
2010,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,5.354
2011,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,5.114
2012,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.635
2013,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.2630468528072845
2014,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.2739395810626
2015,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,4.003398000596121
2016,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,3.7486059127346456
2017,Household (%),Repair,,,,,,,,Percentage (%),Undefined,Units,3.4952864600812457
2008,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,19.32561843625698
2009,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,15.99217361538297
2010,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,14.132
2011,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,14.164
2012,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,15.206
2013,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,21.23823231930288
2014,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,17.83954471988413
2015,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,14.792280402214
2016,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,17.911677074703046
2017,Dwelling (%),Thermal comfort,city centre,,,,,,,Percentage (%),Undefined,Units,14.785574113180164
2008,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,24.09033712577989
2009,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,24.75897237680687
2010,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,24.166
2011,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,19.604
2012,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,17.524
2013,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,19.32095853959212
2014,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,16.32874339483552
2015,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,13.88050984519805
2016,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,18.235424894919568
2017,Dwelling (%),Thermal comfort,Other Rural Area,,,,,,,Percentage (%),Undefined,Units,21.65023525065415
2008,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,14.20770664150593
2009,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,11.25905908661707
2010,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,11.374
2011,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,9.973
2012,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,9.133
2013,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,8.027267944937371
2014,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,6.468425271617268
2015,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,5.593836812455111
2016,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,6.863392151527137
2017,Dwelling (%),Thermal comfort,other urban centre,,,,,,,Percentage (%),Undefined,Units,7.779801068351711
2008,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,12.61221193347222
2009,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,11.65687064790026
2010,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,10.752
2011,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,10.228
2012,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,8.88
2013,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,7.523116846572924
2014,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,7.288364446440782
2015,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,6.504240373292133
2016,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,6.925886621856586
2017,Dwelling (%),Thermal comfort,rural residential,,,,,,,Percentage (%),Undefined,Units,7.679533912708661
2008,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,10.89452856897904
2009,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,8.514843174791276
2010,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,8.028
2011,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,6.999
2012,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,5.94
2013,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,5.672974436311905
2014,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,5.189467287220282
2015,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.828076524443744
2016,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.79159763412065
2017,Dwelling (%),Thermal comfort,suburban residential,,,,,,,Percentage (%),Undefined,Units,4.551725734774866
2008,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,20.46082448718492
2009,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,14.60108749732617
2010,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,15.24
2011,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,13.733
2012,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,11.259
2013,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,12.48265671126134
2014,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,11.62203935181935
2015,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,10.73429573399495
2016,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,13.177186232712891
2017,Dwelling (%),Thermal comfort,village centre,,,,,,,Percentage (%),Undefined,Units,14.227186220061874
2008,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,11.38960124151133
2009,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,8.360515063421989
2010,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,8.077
2011,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,7.279
2012,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,6.421
2013,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,5.926534339520891
2014,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,4.455922795725525
2015,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,3.53697271048699
2016,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,4.27026022794265
2017,Dwelling (%),Thermal comfort,,North,,,,,,Percentage (%),Undefined,Units,4.648697758933981
2008,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,13.00494798991653
2009,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,11.50211306878347
2010,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,11.049
2011,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,9.847
2012,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,8.579
2013,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,8.090650692614984
2014,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,7.340933504644378
2015,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,6.878360552757234
2016,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,7.5733565619800975
2017,Dwelling (%),Thermal comfort,,Rest of England,,,,,,Percentage (%),Undefined,Units,7.324258491989849
2008,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,13.75862294213495
2009,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,10.81166164919174
2010,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,10.093
2011,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,8.594
2012,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,7.588
2013,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,8.062701363875087
2014,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,7.694841332460817
2015,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,7.097789307185471
2016,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,7.236628002858549
2017,Dwelling (%),Thermal comfort,,South East,,,,,,Percentage (%),Undefined,Units,7.354222785340991
2008,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,11.72758685425619
2009,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,9.359229173492482
2010,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,8.837
2011,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,7.884
2012,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,7.187
2013,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,6.786570931380985
2014,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,5.817719286054777
2015,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,5.510336042643175
2016,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,5.756242671136618
2017,Household (%),Thermal comfort,,,59 and under,,,,,Percentage (%),Undefined,Units,5.47958519105848
2008,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,13.69103053604332
2009,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,11.00619839683874
2010,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,10.291
2011,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,8.994
2012,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,7.373
2013,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,7.232731804568779
2014,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,7.074171512116713
2015,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,6.716739515080941
2016,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,7.458325986378958
2017,Household (%),Thermal comfort,,,60 and over,,,,,Percentage (%),Undefined,Units,7.135502131408011
2008,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,16.03690256179455
2009,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,13.33427366523378
2010,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,11.725
2011,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,9.962
2012,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,7.08
2013,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,7.41462840169712
2014,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,7.527101603685802
2015,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,7.247118300568467
2016,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,8.14568444091235
2017,Household (%),Thermal comfort,,,75 and over,,,,,Percentage (%),Undefined,Units,7.864038982563476
2008,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,9.65803546018838
2009,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,7.129138437122915
2010,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,6.921
2011,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,6.93
2012,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,5.417
2013,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,4.530272420072288
2014,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,4.729437438830423
2015,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,4.117025715544586
2016,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,4.279636468121022
2017,Household (%),Thermal comfort,,,,4 and under,,,,Percentage (%),Undefined,Units,4.357109947705446
2008,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,10.23041253759941
2009,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,6.511771807905776
2010,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,6.212
2011,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,6.408
2012,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,5.068
2013,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,4.534108178012793
2014,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,4.168623767026768
2015,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,3.673994835914153
2016,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,4.014323170361917
2017,Household (%),Thermal comfort,,,,15 and under,,,,Percentage (%),Undefined,Units,3.656471735861212
2008,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,13.24672260640796
2009,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,11.31684520303463
2010,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,10.632
2011,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,9.054
2012,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,8.167
2013,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,7.834602999926829
2014,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,7.079769151482026
2015,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,6.836025327582655
2016,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,7.304989430648151
2017,Household (%),Thermal comfort,,,,16 and over,,,,Percentage (%),Undefined,Units,7.03218378754715
2008,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,13.64609232713658
2009,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,11.24875364292703
2010,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,10.502
2011,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,9.189
2012,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,8.845
2013,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,9.690044893471017
2014,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,8.100087499391048
2015,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,7.179327778386097
2016,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,8.108943515632166
2017,Household (%),Thermal comfort,,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,7.276812101915121
2008,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,13.80030510771242
2009,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,11.09366524943292
2010,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,10.545
2011,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,10.261
2012,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,8.89
2013,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,7.392729021339536
2014,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,6.055526273347649
2015,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,6.906840131353555
2016,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,7.5777450972626
2017,Household (%),Thermal comfort,,,,,2nd quintile,,,Percentage (%),Undefined,Units,7.33058920361242
2008,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,13.74760823781778
2009,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,10.74923526432734
2010,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,10.123
2011,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,9.097
2012,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,8.095
2013,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,8.180264742204917
2014,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,7.78255053438932
2015,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,6.411942641138594
2016,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,6.836229011763133
2017,Household (%),Thermal comfort,,,,,3rd quintile,,,Percentage (%),Undefined,Units,6.335903489203178
2008,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,11.35379040142132
2009,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,8.60884931256077
2010,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,9.044
2011,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,8.244
2012,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,6.304
2013,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,5.445691531466645
2014,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,5.563712082640258
2015,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,5.107248591562782
2016,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,4.586847348061735
2017,Household (%),Thermal comfort,,,,,4th quintile,,,Percentage (%),Undefined,Units,4.562094791867069
2008,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,9.691537984130743
2009,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,8.047868784250406
2010,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,6.772
2011,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,4.839
2012,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,4.354
2013,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,4.473059401401422
2014,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,4.35240200352848
2015,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,4.464218115519628
2016,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,5.096853371323059
2017,Household (%),Thermal comfort,,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,5.207165373493077
2008,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,12.09962890791295
2009,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,9.776754774364464
2010,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,9.341
2011,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,8.339
2012,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,7.268
2013,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.973075457917083
2014,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.017493518925607
2015,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,5.65275737603764
2016,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.326985301059472
2017,Household (%),Thermal comfort,,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.09835364289634
2008,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,13.25157905761308
2009,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,10.49256255108927
2010,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,9.472
2011,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,8.201
2012,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,7.226
2013,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.912802125894505
2014,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.88459324924015
2015,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.711483432139829
2016,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.651472062849748
2017,Household (%),Thermal comfort,,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,6.237623724553633
2008,Household (%),Thermal comfort,,,,,,,White,Percentage (%),Undefined,Units,12.52149962641192
2009,Household (%),Thermal comfort,,,,,,,White,Percentage (%),Undefined,Units,10.13940584735388
2010,Household (%),Thermal comfort,,,,,,,White,Percentage (%),Undefined,Units,9.486
2011,Household (%),Thermal comfort,,,,,,,White,Percentage (%),Undefined,Units,8.339
2012,Household (%),Thermal comfort,,,,,,,White,Percentage (%),Undefined,Units,7.247
2013,Household (%),Thermal comfort,,,,,,,White,Percentage (%),Undefined,Units,6.923551995815959
2014,Household (%),Thermal comfort,,,,,,,White,Percentage (%),Undefined,Units,6.325307892390986
