Year,Series,Sex,Age,Country,Region,Socio-economic classification,Ethnicity,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,East,,,,Percentage (%),Units,Normal value,E12000006,19.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,East,,,,Percentage (%),Units,Normal value,E12000006,21.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.0
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,13.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,13.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,13.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,16.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,16.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,17.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,17.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,East,,,,Percentage (%),Units,Normal value,E12000006,19.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,13.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,13.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,13.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,15.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,17.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,15.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,East,,,,Percentage (%),Units,Normal value,E12000006,19.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,11.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,10.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,13.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,15.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,15.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,15.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,8.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,7.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,6.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,5.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,7.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,6.3
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,6.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,8.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,7.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,8.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,East,,,,Percentage (%),Units,Normal value,E12000006,8.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.0
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,11.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,12.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,15.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,14.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,15.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,East,,,,Percentage (%),Units,Normal value,E12000006,16.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,7.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,9.7
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,7.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,18.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,16.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,London,,,,Percentage (%),Units,Normal value,E12000007,17.2
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,9.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,16.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,London,,,,Percentage (%),Units,Normal value,E12000007,17.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,10.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,9.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,10.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.3
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,London,,,,Percentage (%),Units,Normal value,E12000007,17.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.4
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.0
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,14.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,9.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.0
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,14.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,14.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,London,,,,Percentage (%),Units,Normal value,E12000007,14.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,7.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,6.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,5.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,6.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,6.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,6.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,7.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,7.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,8.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,8.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,London,,,,Percentage (%),Units,Normal value,E12000007,8.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,9.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,10.0
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,9.8
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.2
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,11.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,12.4
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,13.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,14.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,London,,,,Percentage (%),Units,Normal value,E12000007,15.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.0
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,13.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,15.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,15.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.0
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,19.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,22.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,23.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,21.8
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,21.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,18 to 24,England,South East,,,,Percentage (%),Units,Normal value,E12000008,26.0
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,14.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,13.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,18.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,18.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,18.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,18.5
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,21.0
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,21.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,25 to 34,England,South East,,,,Percentage (%),Units,Normal value,E12000008,19.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,10.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,10.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,17.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,35 to 44,England,South East,,,,Percentage (%),Units,Normal value,E12000008,18.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,13.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.0
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,14.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,15.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,15.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,16.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,45 to 54,England,South East,,,,Percentage (%),Units,Normal value,E12000008,17.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,10.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.7
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,14.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,13.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,15.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,55 to 64,England,South East,,,,Percentage (%),Units,Normal value,E12000008,15.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,6.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,6.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,5.0
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,5.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,6.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,5.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,7.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,7.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,7.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,8.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,Female,65 and over,England,South East,,,,Percentage (%),Units,Normal value,E12000008,7.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,South East,,,,Percentage (%),Units,Normal value,E12000008,10.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,South East,,,,Percentage (%),Units,Normal value,E12000008,10.9
2019,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,South East,,,,Percentage (%),Units,Normal value,E12000008,10.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,South East,,,,Percentage (%),Units,Normal value,E12000008,11.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,Female,,England,South East,,,,Percentage (%),Units,Normal value,E12000008,12.7
