Year,Series,Type of heritage,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2011,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,49.63253593657907
2012,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,47.10776234204537
2013,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,43.31908083056577
2014,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,41.50360389369133
2015,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,39.74811856857625
2016,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,36.93937829122245
2017,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,38.71884094839204
2018,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,38.578713822107424
2019,Local government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,37.20238095238096
2000,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2001,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2002,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2003,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2004,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2005,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2006,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2007,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2008,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2009,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2010,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2011,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2012,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2013,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2014,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2015,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2016,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2017,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2018,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2019,Local government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0
2000,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,18.663148009462336
2001,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-6.106947710317527
2002,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-6.367313111780035
2003,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-6.707279242479882
2004,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-7.189276468547332
2005,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-7.448690933949975
2006,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-7.776139253720792
2007,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-7.566973422636666
2008,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-7.489025262115884
2009,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-7.757727612209988
2010,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-8.604275049992431
2011,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-9.939148393539712
2012,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-11.568950631818538
2013,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-11.091057425470746
2014,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-12.508359547222154
2015,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-15.527568729841803
2016,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-17.532876046679185
2017,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-12.310683492781669
2018,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-12.14710185502953
2019,Local government expenditure,Cultural heritage,"Recreation, culture and religion not elsewhere classified",Normal value,Units,GBP (£) per capita,-13.50364089297691
