Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnicity,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,107.0
2015,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,136.0
2015,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,139.0
2015,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,160.0
2015,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,163.0
2015,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,142.0
2015,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,96.0
2015,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,55.0
2015,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,45.0
2015,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,34.0
2015,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,954.0
2015,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,14.0
2015,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,20.0
2015,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,33.0
2015,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,65.0
2015,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,82.0
2015,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,67.0
2015,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,102.0
2015,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,98.0
2015,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,119.0
2015,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,116.0
2015,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,92.0
2015,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,58.0
2015,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,40.0
2015,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,28.0
2015,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,20.0
2015,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,437.0
2015,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,7.0
2015,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,12.0
2015,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,27.0
2015,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,24.0
2015,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,30.0
2015,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,40.0
2015,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,34.0
2015,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,41.0
2015,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,41.0
2015,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,47.0
2015,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,50.0
2015,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,38.0
2015,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,15.0
2015,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,17.0
2015,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,14.0
2016,Number of cases,,,,,,,,,,Undefined,Units,Number,,1613.0
2016,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,25.0
2016,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,23.0
2016,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,54.0
2016,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,87.0
2016,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,123.0
2016,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,152.0
2016,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,154.0
2016,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,179.0
2016,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,186.0
2016,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,191.0
2016,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,168.0
2016,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,116.0
2016,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,67.0
2016,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,31.0
2016,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,57.0
2016,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,1044.0
2016,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,20.0
2016,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,10.0
2016,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,29.0
2016,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,55.0
2016,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,77.0
2016,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,87.0
2016,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,102.0
2016,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,126.0
2016,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,122.0
2016,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,135.0
2016,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,118.0
2016,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,80.0
2016,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,37.0
2016,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,17.0
2016,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,29.0
2016,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,569.0
2016,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,5.0
2016,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,13.0
2016,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,25.0
2016,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,32.0
2016,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,46.0
2016,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,65.0
2016,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,52.0
2016,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,53.0
2016,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,64.0
2016,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,56.0
2016,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,50.0
2016,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,36.0
2016,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,30.0
2016,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,14.0
2016,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,28.0
2017,Number of cases,,,,,,,,,,Undefined,Units,Number,,1778.0
2017,Number of cases,,4 and under,,,,,,,,Undefined,Units,Number,,39.0
2017,Number of cases,,5 to 9,,,,,,,,Undefined,Units,Number,,53.0
2017,Number of cases,,10 to 14,,,,,,,,Undefined,Units,Number,,61.0
2017,Number of cases,,15 to 19,,,,,,,,Undefined,Units,Number,,75.0
2017,Number of cases,,20 to 24,,,,,,,,Undefined,Units,Number,,117.0
2017,Number of cases,,25 to 29,,,,,,,,Undefined,Units,Number,,149.0
2017,Number of cases,,30 to 34,,,,,,,,Undefined,Units,Number,,169.0
2017,Number of cases,,35 to 39,,,,,,,,Undefined,Units,Number,,162.0
2017,Number of cases,,40 to 44,,,,,,,,Undefined,Units,Number,,196.0
2017,Number of cases,,45 to 49,,,,,,,,Undefined,Units,Number,,205.0
2017,Number of cases,,50 to 54,,,,,,,,Undefined,Units,Number,,199.0
2017,Number of cases,,55 to 59,,,,,,,,Undefined,Units,Number,,156.0
2017,Number of cases,,60 to 64,,,,,,,,Undefined,Units,Number,,92.0
2017,Number of cases,,65 to 69,,,,,,,,Undefined,Units,Number,,48.0
2017,Number of cases,,70 and over,,,,,,,,Undefined,Units,Number,,57.0
2017,Number of cases,Male,,,,,,,,,Undefined,Units,Number,,1188.0
2017,Number of cases,Male,4 and under,,,,,,,,Undefined,Units,Number,,20.0
2017,Number of cases,Male,5 to 9,,,,,,,,Undefined,Units,Number,,28.0
2017,Number of cases,Male,10 to 14,,,,,,,,Undefined,Units,Number,,41.0
2017,Number of cases,Male,15 to 19,,,,,,,,Undefined,Units,Number,,52.0
2017,Number of cases,Male,20 to 24,,,,,,,,Undefined,Units,Number,,73.0
2017,Number of cases,Male,25 to 29,,,,,,,,Undefined,Units,Number,,100.0
2017,Number of cases,Male,30 to 34,,,,,,,,Undefined,Units,Number,,106.0
2017,Number of cases,Male,35 to 39,,,,,,,,Undefined,Units,Number,,121.0
2017,Number of cases,Male,40 to 44,,,,,,,,Undefined,Units,Number,,142.0
2017,Number of cases,Male,45 to 49,,,,,,,,Undefined,Units,Number,,142.0
2017,Number of cases,Male,50 to 54,,,,,,,,Undefined,Units,Number,,138.0
2017,Number of cases,Male,55 to 59,,,,,,,,Undefined,Units,Number,,103.0
2017,Number of cases,Male,60 to 64,,,,,,,,Undefined,Units,Number,,64.0
2017,Number of cases,Male,65 to 69,,,,,,,,Undefined,Units,Number,,26.0
2017,Number of cases,Male,70 and over,,,,,,,,Undefined,Units,Number,,32.0
2017,Number of cases,Female,,,,,,,,,Undefined,Units,Number,,590.0
2017,Number of cases,Female,4 and under,,,,,,,,Undefined,Units,Number,,19.0
2017,Number of cases,Female,5 to 9,,,,,,,,Undefined,Units,Number,,25.0
2017,Number of cases,Female,10 to 14,,,,,,,,Undefined,Units,Number,,20.0
2017,Number of cases,Female,15 to 19,,,,,,,,Undefined,Units,Number,,23.0
2017,Number of cases,Female,20 to 24,,,,,,,,Undefined,Units,Number,,44.0
2017,Number of cases,Female,25 to 29,,,,,,,,Undefined,Units,Number,,49.0
2017,Number of cases,Female,30 to 34,,,,,,,,Undefined,Units,Number,,63.0
2017,Number of cases,Female,35 to 39,,,,,,,,Undefined,Units,Number,,41.0
2017,Number of cases,Female,40 to 44,,,,,,,,Undefined,Units,Number,,54.0
2017,Number of cases,Female,45 to 49,,,,,,,,Undefined,Units,Number,,63.0
2017,Number of cases,Female,50 to 54,,,,,,,,Undefined,Units,Number,,61.0
2017,Number of cases,Female,55 to 59,,,,,,,,Undefined,Units,Number,,53.0
2017,Number of cases,Female,60 to 64,,,,,,,,Undefined,Units,Number,,28.0
2017,Number of cases,Female,65 to 69,,,,,,,,Undefined,Units,Number,,22.0
2017,Number of cases,Female,70 and over,,,,,,,,Undefined,Units,Number,,25.0
2014,Number of cases,,,England,London,,,,,,Undefined,Units,Number,E12000007,779.0
2014,Number of cases,,,England,South East,,,,,,Undefined,Units,Number,E12000008,133.0
2014,Number of cases,,,England,West Midlands,,,,,,Undefined,Units,Number,E12000005,115.0
2014,Number of cases,,,England,North West,,,,,,Undefined,Units,Number,E12000002,121.0
2014,Number of cases,,,England,East of England,,,,,,Undefined,Units,Number,E12000006,113.0
2014,Number of cases,,,England,Yorkshire and The Humber,,,,,,Undefined,Units,Number,E12000003,97.0
2014,Number of cases,,,England,South West,,,,,,Undefined,Units,Number,E12000009,59.0
2014,Number of cases,,,England,East Midlands,,,,,,Undefined,Units,Number,E12000004,48.0
2014,Number of cases,,,England,North East,,,,,,Undefined,Units,Number,E12000001,10.0
2014,Number of cases,,,England,,,,,,,Undefined,Units,Number,E92000001,1475.0
2014,Number of cases,,,Scotland,,,,,,,Undefined,Units,Number,S92000003,76.0
2014,Number of cases,,,Wales,,,,,,,Undefined,Units,Number,W92000004,33.0
2014,Number of cases,,,Northern Ireland,,,,,,,Undefined,Units,Number,N92000002,2.0
2015,Number of cases,,,England,London,,,,,,Undefined,Units,Number,E12000007,681.0
2015,Number of cases,,,England,South East,,,,,,Undefined,Units,Number,E12000008,120.0
2015,Number of cases,,,England,West Midlands,,,,,,Undefined,Units,Number,E12000005,122.0
2015,Number of cases,,,England,North West,,,,,,Undefined,Units,Number,E12000002,114.0
2015,Number of cases,,,England,East of England,,,,,,Undefined,Units,Number,E12000006,115.0
2015,Number of cases,,,England,Yorkshire and The Humber,,,,,,Undefined,Units,Number,E12000003,68.0
2015,Number of cases,,,England,South West,,,,,,Undefined,Units,Number,E12000009,52.0
2015,Number of cases,,,England,East Midlands,,,,,,Undefined,Units,Number,E12000004,39.0
2015,Number of cases,,,England,North East,,,,,,Undefined,Units,Number,E12000001,8.0
2015,Number of cases,,,England,,,,,,,Undefined,Units,Number,E92000001,1319.0
2015,Number of cases,,,Scotland,,,,,,,Undefined,Units,Number,S92000003,49.0
2015,Number of cases,,,Wales,,,,,,,Undefined,Units,Number,W92000004,21.0
2015,Number of cases,,,Northern Ireland,,,,,,,Undefined,Units,Number,N92000002,11.0
2016,Number of cases,,,England,London,,,,,,Undefined,Units,Number,E12000007,843.0
2016,Number of cases,,,England,South East,,,,,,Undefined,Units,Number,E12000008,141.0
2016,Number of cases,,,England,West Midlands,,,,,,Undefined,Units,Number,E12000005,118.0
2016,Number of cases,,,England,North West,,,,,,Undefined,Units,Number,E12000002,107.0
2016,Number of cases,,,England,East of England,,,,,,Undefined,Units,Number,E12000006,122.0
2016,Number of cases,,,England,Yorkshire and The Humber,,,,,,Undefined,Units,Number,E12000003,68.0
2016,Number of cases,,,England,South West,,,,,,Undefined,Units,Number,E12000009,65.0
2016,Number of cases,,,England,East Midlands,,,,,,Undefined,Units,Number,E12000004,43.0
2016,Number of cases,,,England,North East,,,,,,Undefined,Units,Number,E12000001,22.0
2016,Number of cases,,,England,,,,,,,Undefined,Units,Number,E92000001,1529.0
2016,Number of cases,,,Scotland,,,,,,,Undefined,Units,Number,S92000003,58.0
2016,Number of cases,,,Wales,,,,,,,Undefined,Units,Number,W92000004,25.0
2016,Number of cases,,,Northern Ireland,,,,,,,Undefined,Units,Number,N92000002,6.0
2017,Number of cases,,,England,London,,,,,,Undefined,Units,Number,E12000007,922.0
2017,Number of cases,,,England,South East,,,,,,Undefined,Units,Number,E12000008,155.0
2017,Number of cases,,,England,West Midlands,,,,,,Undefined,Units,Number,E12000005,161.0
2017,Number of cases,,,England,North West,,,,,,Undefined,Units,Number,E12000002,128.0
2017,Number of cases,,,England,East of England,,,,,,Undefined,Units,Number,E12000006,114.0
2017,Number of cases,,,England,Yorkshire and The Humber,,,,,,Undefined,Units,Number,E12000003,79.0
2017,Number of cases,,,England,South West,,,,,,Undefined,Units,Number,E12000009,73.0
2017,Number of cases,,,England,East Midlands,,,,,,Undefined,Units,Number,E12000004,50.0
2017,Number of cases,,,England,North East,,,,,,Undefined,Units,Number,E12000001,26.0
2017,Number of cases,,,England,,,,,,,Undefined,Units,Number,E92000001,1708.0
2017,Number of cases,,,Scotland,,,,,,,Undefined,Units,Number,S92000003,50.0
2017,Number of cases,,,Wales,,,,,,,Undefined,Units,Number,W92000004,24.0
2017,Number of cases,,,Northern Ireland,,,,,,,Undefined,Units,Number,N92000002,10.0
