Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2019/20,London,Redbridge,,,,Normal value,Thousands,Number,E12000007,2.395
2019/20,London,Richmond upon Thames,,,,Normal value,Thousands,Number,E12000007,2.335
2019/20,London,Southwark,,,,Normal value,Thousands,Number,E12000007,8.545
2019/20,London,Sutton,,,,Normal value,Thousands,Number,E12000007,3.365
2019/20,London,Tower Hamlets,,,,Normal value,Thousands,Number,E12000007,2.005
2019/20,London,Waltham Forest,,,,Normal value,Thousands,Number,E12000007,1.615
2019/20,London,Wandsworth,,,,Normal value,Thousands,Number,E12000007,8.28
2019/20,London,Westminster,,,,Normal value,Thousands,Number,E12000007,3.81
2019/20,South East,Bracknell Forest,,,,Normal value,Thousands,Number,E12000008,1.38
2019/20,South East,Brighton and Hove,,,,Normal value,Thousands,Number,E12000008,3.565
2019/20,South East,Buckinghamshire,,,,Normal value,Thousands,Number,E12000008,7.44
2019/20,South East,East Sussex,,,,Normal value,Thousands,Number,E12000008,7.77
2019/20,South East,Hampshire,,,,Normal value,Thousands,Number,E12000008,6.555
2019/20,South East,Isle of Wight,,,,Normal value,Thousands,Number,E12000008,0.015
2019/20,South East,Kent,,,,Normal value,Thousands,Number,E12000008,16.73
2019/20,South East,Medway,,,,Normal value,Thousands,Number,E12000008,4.645
2019/20,South East,Milton Keynes,,,,Normal value,Thousands,Number,E12000008,2.07
2019/20,South East,Oxfordshire,,,,Normal value,Thousands,Number,E12000008,9.505
2019/20,South East,Portsmouth,,,,Normal value,Thousands,Number,E12000008,0.755
2019/20,South East,Reading,,,,Normal value,Thousands,Number,E12000008,2.3
2019/20,South East,Slough,,,,Normal value,Thousands,Number,E12000008,2.945
2019/20,South East,Southampton,,,,Normal value,Thousands,Number,E12000008,0.795
2019/20,South East,Surrey,,,,Normal value,Thousands,Number,E12000008,9.04
2019/20,South East,West Berkshire,,,,Normal value,Thousands,Number,E12000008,0.77
2019/20,South East,West Sussex,,,,Normal value,Thousands,Number,E12000008,11.11
2019/20,South East,Windsor and Maidenhead,,,,Normal value,Thousands,Number,E12000008,1.58
2019/20,South East,Wokingham,,,,Normal value,Thousands,Number,E12000008,1.0
2019/20,South West,Bath and North East Somerset,,,,Normal value,Thousands,Number,E12000009,0.95
2019/20,South West,"Bournemouth, Christchurch and Poole",,,,Normal value,Thousands,Number,E12000009,2.755
2019/20,South West,"Bristol, City of",,,,Normal value,Thousands,Number,E12000009,5.755
2019/20,South West,Cornwall,,,,Normal value,Thousands,Number,E12000009,3.24
2019/20,South West,Devon,,,,Normal value,Thousands,Number,E12000009,11.845
2019/20,South West,Dorset,,,,Normal value,Thousands,Number,E12000009,3.14
2019/20,South West,Gloucestershire,,,,Normal value,Thousands,Number,E12000009,4.645
2019/20,South West,North Somerset,,,,Normal value,Thousands,Number,E12000009,2.05
2019/20,South West,Plymouth,,,,Normal value,Thousands,Number,E12000009,5.04
2019/20,South West,Somerset,,,,Normal value,Thousands,Number,E12000009,5.8
2019/20,South West,South Gloucestershire,,,,Normal value,Thousands,Number,E12000009,1.655
2019/20,South West,Swindon,,,,Normal value,Thousands,Number,E12000009,3.305
2019/20,South West,Torbay,,,,Normal value,Thousands,Number,E12000009,2.31
2019/20,South West,Wiltshire,,,,Normal value,Thousands,Number,E12000009,0.605
2020/21,,,15 and under,Long acting reversible contraceptives,,Normal value,Thousands,Number,,3.409
2020/21,,,16 to 17,Long acting reversible contraceptives,,Normal value,Thousands,Number,,10.131
2020/21,,,18 to 19,Long acting reversible contraceptives,,Normal value,Thousands,Number,,14.94
2020/21,,,20 to 24,Long acting reversible contraceptives,,Normal value,Thousands,Number,,49.757
2020/21,,,25 to 34,Long acting reversible contraceptives,,Normal value,Thousands,Number,,80.105
2020/21,,,35 to 44,Long acting reversible contraceptives,,Normal value,Thousands,Number,,43.662
2020/21,,,45 and over,Long acting reversible contraceptives,,Normal value,Thousands,Number,,18.187
2020/21,,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,,220.191
2020/21,North East,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,14.755
2020/21,North West,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,36.575
2020/21,Yorkshire and The Humber,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,19.74
2020/21,East Midlands,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,15.49
2020/21,West Midlands,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,13.925
2020/21,East of England,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,16.06
2020/21,London,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,44.87
2020/21,South East,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,31.135
2020/21,South West,,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,20.25
2020/21,North East,County Durham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,0.25
2020/21,North East,Darlington,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,0.01
2020/21,North East,Gateshead,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,1.445
2020/21,North East,Hartlepool,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,0.61
2020/21,North East,Middlesbrough,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,0.67
2020/21,North East,Newcastle upon Tyne,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,1.95
2020/21,North East,North Tyneside,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,1.875
2020/21,North East,Northumberland,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,1.95
2020/21,North East,Redcar and Cleveland,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,0.68
2020/21,North East,South Tyneside,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,1.655
2020/21,North East,Stockton-on-Tees,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,0.8
2020/21,North East,Sunderland,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000001,2.865
2020/21,North West,Blackburn with Darwen,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.73
2020/21,North West,Blackpool,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,1.425
2020/21,North West,Bolton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.81
2020/21,North West,Bury,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.52
2020/21,North West,Cheshire East,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,1.77
2020/21,North West,Cheshire West and Chester,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.99
2020/21,North West,Cumbria,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.825
2020/21,North West,Halton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.565
2020/21,North West,Knowsley,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,1.13
2020/21,North West,Lancashire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,7.365
2020/21,North West,Liverpool,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,4.64
2020/21,North West,Manchester,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,3.71
2020/21,North West,Oldham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.935
2020/21,North West,Rochdale,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.855
2020/21,North West,Salford,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,1.21
2020/21,North West,Sefton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,2.72
2020/21,North West,St. Helens,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,1.17
2020/21,North West,Stockport,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.905
2020/21,North West,Tameside,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.73
2020/21,North West,Trafford,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.725
2020/21,North West,Warrington,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.625
2020/21,North West,Wigan,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,0.9
2020/21,North West,Wirral,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000002,1.315
2020/21,Yorkshire and The Humber,Barnsley,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,0.555
2020/21,Yorkshire and The Humber,Bradford,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,1.62
2020/21,Yorkshire and The Humber,Calderdale,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,1.105
2020/21,Yorkshire and The Humber,Doncaster,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,2.22
2020/21,Yorkshire and The Humber,East Riding of Yorkshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,1.695
2020/21,Yorkshire and The Humber,"Kingston upon Hull, City of",,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,2.475
2020/21,Yorkshire and The Humber,Kirklees,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,1.8
2020/21,Yorkshire and The Humber,Leeds,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,2.67
2020/21,Yorkshire and The Humber,North East Lincolnshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,0.415
2020/21,Yorkshire and The Humber,North Lincolnshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,0.35
2020/21,Yorkshire and The Humber,North Yorkshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,1.515
2020/21,Yorkshire and The Humber,Rotherham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,1.495
2020/21,Yorkshire and The Humber,Sheffield,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,0.15
2020/21,Yorkshire and The Humber,Wakefield,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,0.72
2020/21,Yorkshire and The Humber,York,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000003,0.955
2020/21,East Midlands,Derby,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,0.645
2020/21,East Midlands,Derbyshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,1.76
2020/21,East Midlands,Leicester,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,0.83
2020/21,East Midlands,Leicestershire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,1.17
2020/21,East Midlands,Lincolnshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,2.455
2020/21,East Midlands,Northamptonshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,2.125
2020/21,East Midlands,Nottingham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,2.535
2020/21,East Midlands,Nottinghamshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000004,3.975
2020/21,West Midlands,Birmingham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.59
2020/21,West Midlands,Coventry,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,0.96
2020/21,West Midlands,Dudley,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.265
2020/21,West Midlands,"Herefordshire, County of",,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,0.595
2020/21,West Midlands,Sandwell,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.32
2020/21,West Midlands,Shropshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,0.24
2020/21,West Midlands,Solihull,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,0.23
2020/21,West Midlands,Staffordshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.36
2020/21,West Midlands,Stoke-on-Trent,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,0.685
2020/21,West Midlands,Telford and Wrekin,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,0.165
2020/21,West Midlands,Walsall,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.45
2020/21,West Midlands,Warwickshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.455
2020/21,West Midlands,Wolverhampton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.16
2020/21,West Midlands,Worcestershire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000005,1.44
2020/21,East of England,Bedford,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,0.695
2020/21,East of England,Cambridgeshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,1.51
2020/21,East of England,Central Bedfordshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,0.5
2020/21,East of England,Essex,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,3.34
2020/21,East of England,Hertfordshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,2.065
2020/21,East of England,Luton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,0.305
2020/21,East of England,Norfolk,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,3.275
2020/21,East of England,Peterborough,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,1.18
2020/21,East of England,Southend-on-Sea,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,0.57
2020/21,East of England,Suffolk,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,2.085
2020/21,East of England,Thurrock,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000006,0.53
2020/21,London,Barking and Dagenham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.49
2020/21,London,Barnet,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.945
2020/21,London,Bexley,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.77
2020/21,London,Brent,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.97
2020/21,London,Bromley,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.995
2020/21,London,Camden,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.385
2020/21,London,Croydon,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.76
2020/21,London,Ealing,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,2.41
2020/21,London,Enfield,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.425
2020/21,London,Greenwich,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.99
2020/21,London,Hackney,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.81
2020/21,London,Hammersmith and Fulham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.57
2020/21,London,Haringey,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.785
2020/21,London,Harrow,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.285
2020/21,London,Havering,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.37
2020/21,London,Hillingdon,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.385
2020/21,London,Hounslow,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.675
2020/21,London,Islington,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.755
2020/21,London,Kensington and Chelsea,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.815
2020/21,London,Kingston upon Thames,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.005
2020/21,London,Lambeth,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,2.725
2020/21,London,Lewisham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,2.835
2020/21,London,Merton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.1
2020/21,London,Newham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.37
2020/21,London,Redbridge,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.515
2020/21,London,Richmond upon Thames,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.675
2020/21,London,Southwark,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,2.54
2020/21,London,Sutton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.67
2020/21,London,Tower Hamlets,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,1.47
2020/21,London,Waltham Forest,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.97
2020/21,London,Wandsworth,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,2.395
2020/21,London,Westminster,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000007,0.995
2020/21,South East,Bracknell Forest,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.39
2020/21,South East,Brighton and Hove,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,1.57
2020/21,South East,Buckinghamshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,2.815
2020/21,South East,East Sussex,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,2.62
2020/21,South East,Hampshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,3.035
2020/21,South East,Isle of Wight,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.375
2020/21,South East,Kent,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,4.285
2020/21,South East,Medway,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,1.89
2020/21,South East,Milton Keynes,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,1.005
2020/21,South East,Oxfordshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,2.525
2020/21,South East,Portsmouth,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,1.055
2020/21,South East,Reading,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.535
2020/21,South East,Slough,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.745
2020/21,South East,Southampton,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.885
2020/21,South East,Surrey,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,2.86
2020/21,South East,West Berkshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.195
2020/21,South East,West Sussex,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,3.695
2020/21,South East,Windsor and Maidenhead,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.4
2020/21,South East,Wokingham,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000008,0.27
2020/21,South West,Bath and North East Somerset,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,0.285
2020/21,South West,"Bournemouth, Christchurch and Poole",,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.19
2020/21,South West,"Bristol, City of",,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.515
2020/21,South West,Cornwall,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.55
2020/21,South West,Devon,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,3.98
2020/21,South West,Dorset,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.465
2020/21,South West,Gloucestershire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.64
2020/21,South West,North Somerset,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,0.525
2020/21,South West,Plymouth,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.705
2020/21,South West,Somerset,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,2.26
2020/21,South West,South Gloucestershire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,0.425
2020/21,South West,Swindon,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.35
2020/21,South West,Torbay,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.075
2020/21,South West,Wiltshire,,Long acting reversible contraceptives,,Normal value,Thousands,Number,E12000009,1.295
2020/21,,,15 and under,User dependent,,Normal value,Thousands,Number,,4.513
2020/21,,,16 to 17,User dependent,,Normal value,Thousands,Number,,16.957
2020/21,,,18 to 19,User dependent,,Normal value,Thousands,Number,,27.442
2020/21,,,20 to 24,User dependent,,Normal value,Thousands,Number,,73.678
2020/21,,,25 to 34,User dependent,,Normal value,Thousands,Number,,90.024
2020/21,,,35 to 44,User dependent,,Normal value,Thousands,Number,,33.803
2020/21,,,45 and over,User dependent,,Normal value,Thousands,Number,,12.606
2020/21,,,,User dependent,,Normal value,Thousands,Number,,259.029
2020/21,North East,,,User dependent,,Normal value,Thousands,Number,E12000001,12.925
2020/21,North West,,,User dependent,,Normal value,Thousands,Number,E12000002,49.815
2020/21,Yorkshire and The Humber,,,User dependent,,Normal value,Thousands,Number,E12000003,18.575
2020/21,East Midlands,,,User dependent,,Normal value,Thousands,Number,E12000004,21.625
2020/21,West Midlands,,,User dependent,,Normal value,Thousands,Number,E12000005,15.825
2020/21,East of England,,,User dependent,,Normal value,Thousands,Number,E12000006,22.04
2020/21,London,,,User dependent,,Normal value,Thousands,Number,E12000007,56.35
2020/21,South East,,,User dependent,,Normal value,Thousands,Number,E12000008,32.7
2020/21,South West,,,User dependent,,Normal value,Thousands,Number,E12000009,21.59
2020/21,North East,County Durham,,User dependent,,Normal value,Thousands,Number,E12000001,0.245
2020/21,North East,Darlington,,User dependent,,Normal value,Thousands,Number,E12000001,0.015
2020/21,North East,Gateshead,,User dependent,,Normal value,Thousands,Number,E12000001,1.335
2020/21,North East,Hartlepool,,User dependent,,Normal value,Thousands,Number,E12000001,0.99
2020/21,North East,Middlesbrough,,User dependent,,Normal value,Thousands,Number,E12000001,0.475
2020/21,North East,Newcastle upon Tyne,,User dependent,,Normal value,Thousands,Number,E12000001,1.515
2020/21,North East,North Tyneside,,User dependent,,Normal value,Thousands,Number,E12000001,1.68
2020/21,North East,Northumberland,,User dependent,,Normal value,Thousands,Number,E12000001,1.905
2020/21,North East,Redcar and Cleveland,,User dependent,,Normal value,Thousands,Number,E12000001,0.43
2020/21,North East,South Tyneside,,User dependent,,Normal value,Thousands,Number,E12000001,1.765
2020/21,North East,Stockton-on-Tees,,User dependent,,Normal value,Thousands,Number,E12000001,0.695
2020/21,North East,Sunderland,,User dependent,,Normal value,Thousands,Number,E12000001,1.87
2020/21,North West,Blackburn with Darwen,,User dependent,,Normal value,Thousands,Number,E12000002,1.41
2020/21,North West,Blackpool,,User dependent,,Normal value,Thousands,Number,E12000002,1.45
2020/21,North West,Bolton,,User dependent,,Normal value,Thousands,Number,E12000002,0.545
2020/21,North West,Bury,,User dependent,,Normal value,Thousands,Number,E12000002,0.455
2020/21,North West,Cheshire East,,User dependent,,Normal value,Thousands,Number,E12000002,2.715
2020/21,North West,Cheshire West and Chester,,User dependent,,Normal value,Thousands,Number,E12000002,1.475
2020/21,North West,Cumbria,,User dependent,,Normal value,Thousands,Number,E12000002,0.67
2020/21,North West,Halton,,User dependent,,Normal value,Thousands,Number,E12000002,1.715
2020/21,North West,Knowsley,,User dependent,,Normal value,Thousands,Number,E12000002,3.11
2020/21,North West,Lancashire,,User dependent,,Normal value,Thousands,Number,E12000002,8.285
2020/21,North West,Liverpool,,User dependent,,Normal value,Thousands,Number,E12000002,8.695
2020/21,North West,Manchester,,User dependent,,Normal value,Thousands,Number,E12000002,3.44
2020/21,North West,Oldham,,User dependent,,Normal value,Thousands,Number,E12000002,1.15
2020/21,North West,Rochdale,,User dependent,,Normal value,Thousands,Number,E12000002,0.735
2020/21,North West,Salford,,User dependent,,Normal value,Thousands,Number,E12000002,0.88
2020/21,North West,Sefton,,User dependent,,Normal value,Thousands,Number,E12000002,3.665
2020/21,North West,St. Helens,,User dependent,,Normal value,Thousands,Number,E12000002,2.765
2020/21,North West,Stockport,,User dependent,,Normal value,Thousands,Number,E12000002,0.465
2020/21,North West,Tameside,,User dependent,,Normal value,Thousands,Number,E12000002,0.685
2020/21,North West,Trafford,,User dependent,,Normal value,Thousands,Number,E12000002,0.545
2020/21,North West,Warrington,,User dependent,,Normal value,Thousands,Number,E12000002,1.055
2020/21,North West,Wigan,,User dependent,,Normal value,Thousands,Number,E12000002,1.87
2020/21,North West,Wirral,,User dependent,,Normal value,Thousands,Number,E12000002,2.03
2020/21,Yorkshire and The Humber,Barnsley,,User dependent,,Normal value,Thousands,Number,E12000003,0.725
2020/21,Yorkshire and The Humber,Bradford,,User dependent,,Normal value,Thousands,Number,E12000003,1.795
2020/21,Yorkshire and The Humber,Calderdale,,User dependent,,Normal value,Thousands,Number,E12000003,1.135
2020/21,Yorkshire and The Humber,Doncaster,,User dependent,,Normal value,Thousands,Number,E12000003,2.95
2020/21,Yorkshire and The Humber,East Riding of Yorkshire,,User dependent,,Normal value,Thousands,Number,E12000003,1.025
2020/21,Yorkshire and The Humber,"Kingston upon Hull, City of",,User dependent,,Normal value,Thousands,Number,E12000003,1.825
2020/21,Yorkshire and The Humber,Kirklees,,User dependent,,Normal value,Thousands,Number,E12000003,1.555
2020/21,Yorkshire and The Humber,Leeds,,User dependent,,Normal value,Thousands,Number,E12000003,2.7
2020/21,Yorkshire and The Humber,North East Lincolnshire,,User dependent,,Normal value,Thousands,Number,E12000003,0.57
2020/21,Yorkshire and The Humber,North Lincolnshire,,User dependent,,Normal value,Thousands,Number,E12000003,0.51
2020/21,Yorkshire and The Humber,North Yorkshire,,User dependent,,Normal value,Thousands,Number,E12000003,1.365
2020/21,Yorkshire and The Humber,Rotherham,,User dependent,,Normal value,Thousands,Number,E12000003,0.715
2020/21,Yorkshire and The Humber,Sheffield,,User dependent,,Normal value,Thousands,Number,E12000003,0.085
2020/21,Yorkshire and The Humber,Wakefield,,User dependent,,Normal value,Thousands,Number,E12000003,0.74
2020/21,Yorkshire and The Humber,York,,User dependent,,Normal value,Thousands,Number,E12000003,0.875
2020/21,East Midlands,Derby,,User dependent,,Normal value,Thousands,Number,E12000004,1.85
2020/21,East Midlands,Derbyshire,,User dependent,,Normal value,Thousands,Number,E12000004,5.77
2020/21,East Midlands,Leicester,,User dependent,,Normal value,Thousands,Number,E12000004,2.395
2020/21,East Midlands,Leicestershire,,User dependent,,Normal value,Thousands,Number,E12000004,2.225
2020/21,East Midlands,Lincolnshire,,User dependent,,Normal value,Thousands,Number,E12000004,1.94
2020/21,East Midlands,Northamptonshire,,User dependent,,Normal value,Thousands,Number,E12000004,1.19
2020/21,East Midlands,Nottingham,,User dependent,,Normal value,Thousands,Number,E12000004,2.765
2020/21,East Midlands,Nottinghamshire,,User dependent,,Normal value,Thousands,Number,E12000004,3.49
2020/21,West Midlands,Birmingham,,User dependent,,Normal value,Thousands,Number,E12000005,1.49
2020/21,West Midlands,Coventry,,User dependent,,Normal value,Thousands,Number,E12000005,0.59
2020/21,West Midlands,Dudley,,User dependent,,Normal value,Thousands,Number,E12000005,1.36
2020/21,West Midlands,"Herefordshire, County of",,User dependent,,Normal value,Thousands,Number,E12000005,0.415
2020/21,West Midlands,Sandwell,,User dependent,,Normal value,Thousands,Number,E12000005,1.59
2020/21,West Midlands,Shropshire,,User dependent,,Normal value,Thousands,Number,E12000005,0.36
2020/21,West Midlands,Solihull,,User dependent,,Normal value,Thousands,Number,E12000005,0.225
