Year,Series,Sector,Age,Sex,Country,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2016,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,8.87916494829
2004,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,8.98817561808
2015,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.02851932161
2005,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.09579046831
2014,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.10898430311
2006,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.19056149789
2013,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.20513657032
2007,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.27474688749
2008,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.30099347545
2009,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.30758876505
2012,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.33736472614
2010,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.35209827185
2011,Public sector employment,,18 to 24,,,,Undefined,Units,Percentage (%),,9.39000613809
2007,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.1268875142
2008,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.1521124269
2009,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.1843156509
2006,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.1978318139
2010,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.2599795001
2005,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.2957298988
2004,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.357441833
2011,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.3729661202
2012,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.4338057764
2013,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.5365797844
2014,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.5437196595
2015,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.5505335476
2016,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.5857964655
2003,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.605030409
2002,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,13.9412745179
2001,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,14.3360897032
2000,Public sector employment,,25 to 34,,,,Undefined,Units,Percentage (%),,14.6822766982
2000,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.8064509829
2001,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.8557939253
2006,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.8716398409
2002,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.8843029786
2007,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.888979082
2003,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.9121397505
2005,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.9152898777
2004,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,15.9291660014
2008,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,16.0029510978
2009,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,16.1768862517
2010,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,16.3524792184
2011,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,16.5254989935
2012,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,17.0174097713
2000,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.2801239139
2013,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,17.3648349333
2001,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.4196136431
2002,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.5253303352
2003,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.6034198561
2014,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,17.6585054927
2004,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.6778526316
2005,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.7223628793
2015,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,17.833145349
2006,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.8590297638
2007,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,17.9435991166
2016,Public sector employment,,65 and over,,,,Undefined,Units,Percentage (%),,17.9960932277
2008,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.0050029946
2009,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.0674240159
2012,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.1216961989
2010,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.1358678444
2013,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.1602047145
2011,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.2344103028
2014,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.2866516261
2015,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.4575514121
2016,Public sector employment,,50 to 64,,,,Undefined,Units,Percentage (%),,18.6340618718
2016,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,19.7610564359
2007,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,19.9513769832
2015,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,19.980095541
2014,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,20.2135054716
2008,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,20.2779354945
2006,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,20.3822226691
2013,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,20.512650881
2013,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,20.6734817701
2009,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,20.7900519641
2014,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,20.8053536401
2012,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,20.8606588836
2010,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,20.8626995888
2002,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,20.9591467841
2000,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.0810605192
2003,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.1053221237
2012,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.107224164
2015,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.1409830044
2005,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.1758590059
2011,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.1982856721
2004,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.2076711003
2016,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.2100335466
2011,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.2301417655
2001,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.318335373
2001,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,21.5167845846
2010,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.5669045952
2002,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.5765988822
2003,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.776363003
2009,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.8205171094
2004,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.9275849601
2008,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,21.9865588272
2005,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,22.037550157
2007,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,22.1150139659
2006,Public sector employment,,35 to 49,,,,Undefined,Units,Percentage (%),,22.1216633707
2000,Public sector employment,Public sector,25 to 34,,,,Undefined,Units,Percentage (%),,22.636691997
2000,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,25.680998621
2001,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,26.7109593916
2002,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,26.800651262
2004,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,27.0724181043
2003,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,27.2050618603
2005,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,27.3286784606
2006,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,28.277962421
2007,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,28.746063983
2009,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,28.817968486
2008,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,29.0196501925
2010,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,29.0690446825
2011,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,29.9623108564
2012,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,30.1195713646
2014,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,30.6014781028
2015,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,31.1554547949
2013,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,31.3286832756
2016,Public sector employment,Public sector,50 to 64,,,,Undefined,Units,Percentage (%),,31.7799804712
2016,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,38.1323218933
2015,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,38.5442926085
2014,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,39.8373147266
2013,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,40.2361667827
2011,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,41.1471281939
2012,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,41.2914362302
2010,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,41.9474155123
2009,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,42.0894265131
2008,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,42.462147774
2003,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,43.3427106501
2007,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,43.4292910795
2006,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,43.529475339
2004,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,43.6221035718
2005,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,43.678151292
2001,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,43.8921195014
2002,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,43.9017691667
2000,Public sector employment,Public sector,35 to 49,,,,Undefined,Units,Percentage (%),,44.175109444
