Year,Units,Sex,Age,Region,Disability,Ethnicity,Country of birth,Nationality,GeoCode,Value
2010 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,11.1
2010 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,10.8
2010 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,12.9
2011 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,11.7
2011 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,11.6
2011 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,12.1
2011 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,12.1
2012 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,12.2
2012 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,11.2
2012 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,11.5
2012 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,11.6
2013 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,10.9
2013 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,11.4
2013 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,11.7
2013 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,10.8
2014 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,10.3
2014 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,10.4
2014 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,11.2
2014 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,11.6
2015 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,12.1
2015 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,10.1
2015 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,10.1
2015 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,9.9
2016 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,10.1
2016 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,10.3
2016 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,11.5
2016 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,9.8
2017 Q1 Jan-Mar,Percentage (%),,,Northern Ireland,,,,,N92000002,9.3
2017 Q2 Apr-Jun,Percentage (%),,,Northern Ireland,,,,,N92000002,10.2
2017 Q3 Jul-Sep,Percentage (%),,,Northern Ireland,,,,,N92000002,10.1
2017 Q4 Oct-Dec,Percentage (%),,,Northern Ireland,,,,,N92000002,10.3
