Year,Series,Educational measure,Education indicator,Observation status,Unit multiplier,Units,Value
2018,Adjusted Gender Parity Index (GPIA),Percentage of students,"Percentage of youth/adults who have achieved at least a minimum level of proficiency in digital literacy skills, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Wealth Parity Index (WPIA),Percentage of students,"Percentage of youth/adults who have achieved at least a minimum level of proficiency in digital literacy skills, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of 15 to 24 year olds,"Proportion of 15-24 year-olds enrolled in vocational education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.88
2018,Adjusted Gender Parity Index (GPIA),Proportion of children and young people,"Proportion of children and young people at the age of lower secondary education prepared for the future in mathematics, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.97
2018,Adjusted Gender Parity Index (GPIA),Proportion of children and young people,"Proportion of children and young people at the age of lower secondary education prepared for the future in reading, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.07
2018,Adjusted Gender Parity Index (GPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional literacy skills, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Native Parity Index (NPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional literacy skills, adjusted native parity index (NPIA)",Missing value,Units,Ratio,
2018,Adjusted Wealth Parity Index (WPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional literacy skills, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Native Parity Index (NPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, adjusted native parity index (NPIA)",Missing value,Units,Ratio,
2018,Adjusted Wealth Parity Index (WPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of pupils,"Proportion of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2018,Adjusted Gender Parity Index (GPIA),Proportion of pupils,"Proportion of pupils enrolled in primary education who are at least 2 years over-age for their current grade, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2018,Adjusted Gender Parity Index (GPIA),Proportion of students,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.97
2018,Adjusted Location Parity Index (LPIA),Proportion of students,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.07
2018,Adjusted Wealth Parity Index (WPIA),Proportion of students,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in mathematics, adjusted wealth parity index (WPIA)",Normal value,Units,Ratio,0.76
2018,Adjusted Gender Parity Index (GPIA),Proportion of students,"Proportion of students at the end of lower secondary achieving at least a minimum proficiency level in reading, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.07
2018,Adjusted Native Parity Index (NPIA),Proportion of students,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, adjusted native parity index (NPIA)",Normal value,Units,Ratio,0.95
2018,Adjusted Language of the Test Parity Index (LTPIA),Proportion of students,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, adjusted speaks language of the test parity index (LTPIA)",Normal value,Units,Ratio,0.9
2018,Adjusted Location Parity Index (LPIA),Proportion of students,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.04
2018,Adjusted Native Parity Index (NPIA),Proportion of students,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted native parity index (NPIA)",Normal value,Units,Ratio,0.93
2018,Adjusted Language of the Test Parity Index (LTPIA),Proportion of students,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted speaks language of the test parity index (LTPIA)",Normal value,Units,Ratio,0.87
2018,Adjusted Wealth Parity Index (WPIA),Proportion of students,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, adjusted wealth parity index (WPIA)",Normal value,Units,Ratio,0.81
2018,Adjusted Gender Parity Index (GPIA),Proportion of students,"Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Location Parity Index (LPIA),Proportion of students,"Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2018,Adjusted Wealth Parity Index (WPIA),Proportion of students,"Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2018,Adjusted Native Parity Index (NPIA),Proportion of students,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, adjusted native parity index (NPIA)",Missing value,Units,Ratio,
2018,Adjusted Language of the Test Parity Index (LTPIA),Proportion of students,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, adjusted speaks language of the test parity index (LTPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have connected and installed new devices, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have copied or moved a file or folder, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have created electronic presentations with presentation software, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have found, downloaded, installed and configured software, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have Transferred files between a computer and other devices, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2018,Adjusted Gender Parity Index (GPIA),Proportion of youth and adults,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Adjusted net enrolment rate,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Gender Parity Index (GPIA),Completion rate,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Location Parity Index (LPIA),Completion rate,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Gender Parity Index (GPIA),Completion rate,"Completion rate, primary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Location Parity Index (LPIA),Completion rate,"Completion rate, primary education, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Gender Parity Index (GPIA),Completion rate,"Completion rate, upper secondary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.07
2019,Adjusted Location Parity Index (LPIA),Completion rate,"Completion rate, upper secondary education, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.02
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Gross enrolment ratio,"Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.27
2019,Adjusted Gender Parity Index (GPIA),Gross enrolment ratio,"Gross enrolment ratio, early childhood education, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Gross enrolment ratio,"Gross enrolment ratio, early childhood educational development programmes, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Gross enrolment ratio,"Gross enrolment ratio, pre-primary, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Gender Parity Index (GPIA),Gross intake ratio,"Gross intake ratio to the last grade of lower secondary general education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Gender Parity Index (GPIA),Gross intake ratio,"Gross intake ratio to the last grade of primary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.87
2019,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children and adolescents of primary and lower secondary school age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.28
2019,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children of primary school age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.2
2019,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children one year younger than official age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.0
2019,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.99
2019,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for youth of upper secondary school age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.8
2019,Adjusted Gender Parity Index (GPIA),Participation rate in formal and non-formal education and training in the previous 12 months,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2019,Adjusted Gender Parity Index (GPIA),Participation rate in formal and non-formal education and training in the previous 12 months,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.1
2019,Adjusted Gender Parity Index (GPIA),Participation rate in formal and non-formal education and training in the previous 12 months,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 25-54 years old, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.2
2019,Adjusted Gender Parity Index (GPIA),Participation rate in formal and non-formal education and training in the previous 12 months,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 55-64 years old, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.1
2019,Adjusted Gender Parity Index (GPIA),Percentage of students,"Percentage of students at the end of lower secondary education who have their first or home language as language of instruction, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Percentage of students,"Percentage of students at the end of lower secondary education who have their first or home language as language of instruction, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Percentage of students,"Percentage of students at the end of lower secondary education who have their first or home language as language of instruction, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – adjusted gender parity index (GPIA),Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – adjusted wealth parity index (WPIA),Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Cognitive dimension – adjusted gender parity index (GPIA),Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Cognitive dimension – adjusted location parity index (LPIA),Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Cognitive dimension – adjusted wealth parity index (WPIA),Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Confidence – adjusted gender parity index (GPIA),Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Confidence – adjusted wealth parity index (WPIA),Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Enjoyment – adjusted gender parity index (GPIA),Missing value,Units,Ratio,
2019,Adjusted Location Parity Index (LPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Enjoyment – adjusted location parity index (LPIA),Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Percentage of students,Percentage of students in lower secondary showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Enjoyment – adjusted wealth parity index (WPIA),Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Percentage of students,"Percentage of teachers in lower secondary education who received in-service training in the last 12 months by type of training, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Percentage of students,"Percentage of youth/adults who have achieved at least a minimum level of proficiency in digital literacy skills, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Percentage of students,"Percentage of youth/adults who have achieved at least a minimum level of proficiency in digital literacy skills, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Proportion of 15 to 24 year olds,"Proportion of 15-24 year-olds enrolled in vocational education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.86
2019,Adjusted Gender Parity Index (GPIA),Proportion of children and young people,"Proportion of children and young people at the age of lower secondary education prepared for the future in mathematics, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Proportion of children and young people,"Proportion of children and young people at the age of lower secondary education prepared for the future in reading, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional literacy skills, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Native Parity Index (NPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional literacy skills, adjusted native parity index (NPIA)",Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional literacy skills, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2019,Adjusted Native Parity Index (NPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, adjusted native parity index (NPIA)",Missing value,Units,Ratio,
2019,Adjusted Wealth Parity Index (WPIA),Proportion of population,"Proportion of population achieving at least a fixed level of proficiency in functional numeracy skills, adjusted wealth parity index (WPIA)",Missing value,Units,Ratio,
2019,Adjusted Gender Parity Index (GPIA),Proportion of pupils,"Proportion of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
