Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2010/11,Met need (%),Surrey,,Units,Percentage (%),25
2011/12,Met need (%),Surrey,,Units,Percentage (%),23.6914241
2012/13,Met need (%),Surrey,,Units,Percentage (%),21.84148574
2013/14,Met need (%),Surrey,,Units,Percentage (%),20.64631957
2014/15,Met need (%),Surrey,,Units,Percentage (%),19.61919465
2015/16,Met need (%),Surrey,,Units,Percentage (%),20.33642983
2016/17,Met need (%),Surrey,,Units,Percentage (%),16.18345414
2017/18,Met need (%),Surrey,,Units,Percentage (%),18.27077914
2018/19,Met need (%),Surrey,,Units,Percentage (%),18.4934071
2010/11,Number of people in treatment,Surrey,,Units,Count,1910
2011/12,Number of people in treatment,Surrey,,Units,Count,1815
2012/13,Number of people in treatment,Surrey,,Units,Count,1670
2013/14,Number of people in treatment,Surrey,,Units,Count,1610
2014/15,Number of people in treatment,Surrey,,Units,Count,1525
2015/16,Number of people in treatment,Surrey,,Units,Count,1620
2016/17,Number of people in treatment,Surrey,,Units,Count,1295
2017/18,Number of people in treatment,Surrey,,Units,Count,1475
2018/19,Number of people in treatment,Surrey,,Units,Count,1482
2018/19,Number of people in treatment,Surrey,,Units,Count,1485
2010/11,Estimated prevalence,Sutton,,Units,Number,1941
2011/12,Estimated prevalence,Sutton,,Units,Number,1939
2012/13,Estimated prevalence,Sutton,,Units,Number,1941
2013/14,Estimated prevalence,Sutton,,Units,Number,1993
2014/15,Estimated prevalence,Sutton,,Units,Number,1986
2015/16,Estimated prevalence,Sutton,,Units,Number,2111
2016/17,Estimated prevalence,Sutton,,Units,Number,1862
2017/18,Estimated prevalence,Sutton,,Units,Number,1831
2018/19,Estimated prevalence,Sutton,,Units,Number,1934.666667
2010/11,Met need (%),Sutton,,Units,Percentage (%),26.5327151
2011/12,Met need (%),Sutton,,Units,Percentage (%),26.04435276
2012/13,Met need (%),Sutton,,Units,Percentage (%),23.69912416
2013/14,Met need (%),Sutton,,Units,Percentage (%),25.3386854
2014/15,Met need (%),Sutton,,Units,Percentage (%),25.42799597
2015/16,Met need (%),Sutton,,Units,Percentage (%),21.55376599
2016/17,Met need (%),Sutton,,Units,Percentage (%),17.72287863
2017/18,Met need (%),Sutton,,Units,Percentage (%),18.02293829
2018/19,Met need (%),Sutton,,Units,Percentage (%),18.71123363
2010/11,Number of people in treatment,Sutton,,Units,Count,515
2011/12,Number of people in treatment,Sutton,,Units,Count,505
2012/13,Number of people in treatment,Sutton,,Units,Count,460
2013/14,Number of people in treatment,Sutton,,Units,Count,505
2014/15,Number of people in treatment,Sutton,,Units,Count,505
2015/16,Number of people in treatment,Sutton,,Units,Count,455
2016/17,Number of people in treatment,Sutton,,Units,Count,330
2017/18,Number of people in treatment,Sutton,,Units,Count,330
2018/19,Number of people in treatment,Sutton,,Units,Count,362
2018/19,Number of people in treatment,Sutton,,Units,Count,360
2010/11,Estimated prevalence,Swindon,,Units,Number,1898
2011/12,Estimated prevalence,Swindon,,Units,Number,1896
2012/13,Estimated prevalence,Swindon,,Units,Number,1891
2013/14,Estimated prevalence,Swindon,,Units,Number,1958
2014/15,Estimated prevalence,Swindon,,Units,Number,1951
2015/16,Estimated prevalence,Swindon,,Units,Number,1925
2016/17,Estimated prevalence,Swindon,,Units,Number,2053
2017/18,Estimated prevalence,Swindon,,Units,Number,2110
2018/19,Estimated prevalence,Swindon,,Units,Number,2029.333333
2010/11,Met need (%),Swindon,,Units,Percentage (%),27.92413066
2011/12,Met need (%),Swindon,,Units,Percentage (%),24.26160338
2012/13,Met need (%),Swindon,,Units,Percentage (%),28.55631941
2013/14,Met need (%),Swindon,,Units,Percentage (%),21.96118488
2014/15,Met need (%),Swindon,,Units,Percentage (%),25.37160431
2015/16,Met need (%),Swindon,,Units,Percentage (%),22.07792208
2016/17,Met need (%),Swindon,,Units,Percentage (%),20.21432051
2017/18,Met need (%),Swindon,,Units,Percentage (%),14.92890995
2018/19,Met need (%),Swindon,,Units,Percentage (%),15.17739816
2010/11,Number of people in treatment,Swindon,,Units,Count,530
2011/12,Number of people in treatment,Swindon,,Units,Count,460
2012/13,Number of people in treatment,Swindon,,Units,Count,540
2013/14,Number of people in treatment,Swindon,,Units,Count,430
2014/15,Number of people in treatment,Swindon,,Units,Count,495
2015/16,Number of people in treatment,Swindon,,Units,Count,425
2016/17,Number of people in treatment,Swindon,,Units,Count,415
2017/18,Number of people in treatment,Swindon,,Units,Count,315
2018/19,Number of people in treatment,Swindon,,Units,Count,308
2018/19,Number of people in treatment,Swindon,,Units,Count,310
2010/11,Estimated prevalence,Tameside,,Units,Number,3544
2011/12,Estimated prevalence,Tameside,,Units,Number,3577
2012/13,Estimated prevalence,Tameside,,Units,Number,3559
2013/14,Estimated prevalence,Tameside,,Units,Number,3749
2014/15,Estimated prevalence,Tameside,,Units,Number,3723
2015/16,Estimated prevalence,Tameside,,Units,Number,3698
2016/17,Estimated prevalence,Tameside,,Units,Number,3428
2017/18,Estimated prevalence,Tameside,,Units,Number,3214
2018/19,Estimated prevalence,Tameside,,Units,Number,3446.666667
2010/11,Met need (%),Tameside,,Units,Percentage (%),26.38261851
2011/12,Met need (%),Tameside,,Units,Percentage (%),25.44031311
2012/13,Met need (%),Tameside,,Units,Percentage (%),22.75920202
2013/14,Met need (%),Tameside,,Units,Percentage (%),21.60576154
2014/15,Met need (%),Tameside,,Units,Percentage (%),20.8165458
2015/16,Met need (%),Tameside,,Units,Percentage (%),17.57706869
2016/17,Met need (%),Tameside,,Units,Percentage (%),17.94049008
2017/18,Met need (%),Tameside,,Units,Percentage (%),16.17921593
2018/19,Met need (%),Tameside,,Units,Percentage (%),21.26692456
2010/11,Number of people in treatment,Tameside,,Units,Count,935
2011/12,Number of people in treatment,Tameside,,Units,Count,910
2012/13,Number of people in treatment,Tameside,,Units,Count,810
2013/14,Number of people in treatment,Tameside,,Units,Count,810
2014/15,Number of people in treatment,Tameside,,Units,Count,775
2015/16,Number of people in treatment,Tameside,,Units,Count,650
2016/17,Number of people in treatment,Tameside,,Units,Count,615
2017/18,Number of people in treatment,Tameside,,Units,Count,520
2018/19,Number of people in treatment,Tameside,,Units,Count,733
2018/19,Number of people in treatment,Tameside,,Units,Count,730
2010/11,Estimated prevalence,Telford and Wrekin,,Units,Number,1878
2011/12,Estimated prevalence,Telford and Wrekin,,Units,Number,1906
2012/13,Estimated prevalence,Telford and Wrekin,,Units,Number,1903
2013/14,Estimated prevalence,Telford and Wrekin,,Units,Number,1943
2014/15,Estimated prevalence,Telford and Wrekin,,Units,Number,1949
2015/16,Estimated prevalence,Telford and Wrekin,,Units,Number,1979
2016/17,Estimated prevalence,Telford and Wrekin,,Units,Number,1937
2017/18,Estimated prevalence,Telford and Wrekin,,Units,Number,1953
2018/19,Estimated prevalence,Telford and Wrekin,,Units,Number,1956.333333
2010/11,Met need (%),Telford and Wrekin,,Units,Percentage (%),29.55271565
2011/12,Met need (%),Telford and Wrekin,,Units,Percentage (%),27.28226653
2012/13,Met need (%),Telford and Wrekin,,Units,Percentage (%),26.79978981
2013/14,Met need (%),Telford and Wrekin,,Units,Percentage (%),28.82141019
2014/15,Met need (%),Telford and Wrekin,,Units,Percentage (%),28.21959979
2015/16,Met need (%),Telford and Wrekin,,Units,Percentage (%),30.06568974
2016/17,Met need (%),Telford and Wrekin,,Units,Percentage (%),26.07124419
2017/18,Met need (%),Telford and Wrekin,,Units,Percentage (%),26.62570405
2018/19,Met need (%),Telford and Wrekin,,Units,Percentage (%),21.92877833
2010/11,Number of people in treatment,Telford and Wrekin,,Units,Count,555
2011/12,Number of people in treatment,Telford and Wrekin,,Units,Count,520
2012/13,Number of people in treatment,Telford and Wrekin,,Units,Count,510
2013/14,Number of people in treatment,Telford and Wrekin,,Units,Count,560
2014/15,Number of people in treatment,Telford and Wrekin,,Units,Count,550
2015/16,Number of people in treatment,Telford and Wrekin,,Units,Count,595
2016/17,Number of people in treatment,Telford and Wrekin,,Units,Count,505
2017/18,Number of people in treatment,Telford and Wrekin,,Units,Count,520
2018/19,Number of people in treatment,Telford and Wrekin,,Units,Count,429
2018/19,Number of people in treatment,Telford and Wrekin,,Units,Count,430
2010/11,Estimated prevalence,Thurrock,,Units,Number,1453
2011/12,Estimated prevalence,Thurrock,,Units,Number,1448
2012/13,Estimated prevalence,Thurrock,,Units,Number,1444
2013/14,Estimated prevalence,Thurrock,,Units,Number,1458
2014/15,Estimated prevalence,Thurrock,,Units,Number,1466
2015/16,Estimated prevalence,Thurrock,,Units,Number,1464
2016/17,Estimated prevalence,Thurrock,,Units,Number,1458
2017/18,Estimated prevalence,Thurrock,,Units,Number,1574
2018/19,Estimated prevalence,Thurrock,,Units,Number,1498.666667
2010/11,Met need (%),Thurrock,,Units,Percentage (%),22.02339986
2011/12,Met need (%),Thurrock,,Units,Percentage (%),24.86187845
2012/13,Met need (%),Thurrock,,Units,Percentage (%),24.93074792
2013/14,Met need (%),Thurrock,,Units,Percentage (%),27.43484225
2014/15,Met need (%),Thurrock,,Units,Percentage (%),22.1691678
2015/16,Met need (%),Thurrock,,Units,Percentage (%),27.32240437
2016/17,Met need (%),Thurrock,,Units,Percentage (%),21.9478738
2017/18,Met need (%),Thurrock,,Units,Percentage (%),12.7064803
2018/19,Met need (%),Thurrock,,Units,Percentage (%),15.14679715
2010/11,Number of people in treatment,Thurrock,,Units,Count,320
2011/12,Number of people in treatment,Thurrock,,Units,Count,360
2012/13,Number of people in treatment,Thurrock,,Units,Count,360
2013/14,Number of people in treatment,Thurrock,,Units,Count,400
2014/15,Number of people in treatment,Thurrock,,Units,Count,325
2015/16,Number of people in treatment,Thurrock,,Units,Count,400
2016/17,Number of people in treatment,Thurrock,,Units,Count,320
2017/18,Number of people in treatment,Thurrock,,Units,Count,200
2018/19,Number of people in treatment,Thurrock,,Units,Count,227
2018/19,Number of people in treatment,Thurrock,,Units,Count,225
2010/11,Estimated prevalence,Torbay,,Units,Number,1629
2011/12,Estimated prevalence,Torbay,,Units,Number,1617
2012/13,Estimated prevalence,Torbay,,Units,Number,1598
2013/14,Estimated prevalence,Torbay,,Units,Number,1679
2014/15,Estimated prevalence,Torbay,,Units,Number,1666
2015/16,Estimated prevalence,Torbay,,Units,Number,1660
2016/17,Estimated prevalence,Torbay,,Units,Number,1651
2017/18,Estimated prevalence,Torbay,,Units,Number,1675
2018/19,Estimated prevalence,Torbay,,Units,Number,1662
2010/11,Met need (%),Torbay,,Units,Percentage (%),28.85205648
2011/12,Met need (%),Torbay,,Units,Percentage (%),26.90166976
2012/13,Met need (%),Torbay,,Units,Percentage (%),29.41176471
2013/14,Met need (%),Torbay,,Units,Percentage (%),31.56640858
2014/15,Met need (%),Torbay,,Units,Percentage (%),33.31332533
2015/16,Met need (%),Torbay,,Units,Percentage (%),30.72289157
2016/17,Met need (%),Torbay,,Units,Percentage (%),32.10175651
2017/18,Met need (%),Torbay,,Units,Percentage (%),28.95522388
2018/19,Met need (%),Torbay,,Units,Percentage (%),27.67749699
2010/11,Number of people in treatment,Torbay,,Units,Count,470
2011/12,Number of people in treatment,Torbay,,Units,Count,435
2012/13,Number of people in treatment,Torbay,,Units,Count,470
2013/14,Number of people in treatment,Torbay,,Units,Count,530
2014/15,Number of people in treatment,Torbay,,Units,Count,555
2015/16,Number of people in treatment,Torbay,,Units,Count,510
2016/17,Number of people in treatment,Torbay,,Units,Count,530
2017/18,Number of people in treatment,Torbay,,Units,Count,485
2018/19,Number of people in treatment,Torbay,,Units,Count,460
2010/11,Estimated prevalence,Tower Hamlets,,Units,Number,3370
2011/12,Estimated prevalence,Tower Hamlets,,Units,Number,3370
2012/13,Estimated prevalence,Tower Hamlets,,Units,Number,3365
2013/14,Estimated prevalence,Tower Hamlets,,Units,Number,3422
2014/15,Estimated prevalence,Tower Hamlets,,Units,Number,3427
2015/16,Estimated prevalence,Tower Hamlets,,Units,Number,3551
2016/17,Estimated prevalence,Tower Hamlets,,Units,Number,3467
2017/18,Estimated prevalence,Tower Hamlets,,Units,Number,3350
2018/19,Estimated prevalence,Tower Hamlets,,Units,Number,3456
2010/11,Met need (%),Tower Hamlets,,Units,Percentage (%),16.17210682
2011/12,Met need (%),Tower Hamlets,,Units,Percentage (%),19.28783383
2012/13,Met need (%),Tower Hamlets,,Units,Percentage (%),19.61367013
2013/14,Met need (%),Tower Hamlets,,Units,Percentage (%),20.60198714
2014/15,Met need (%),Tower Hamlets,,Units,Percentage (%),18.96702655
2015/16,Met need (%),Tower Hamlets,,Units,Percentage (%),17.88228668
2016/17,Met need (%),Tower Hamlets,,Units,Percentage (%),17.59446207
2017/18,Met need (%),Tower Hamlets,,Units,Percentage (%),21.04477612
2018/19,Met need (%),Tower Hamlets,,Units,Percentage (%),20.05208333
2010/11,Number of people in treatment,Tower Hamlets,,Units,Count,545
2011/12,Number of people in treatment,Tower Hamlets,,Units,Count,650
2012/13,Number of people in treatment,Tower Hamlets,,Units,Count,660
2013/14,Number of people in treatment,Tower Hamlets,,Units,Count,705
2014/15,Number of people in treatment,Tower Hamlets,,Units,Count,650
2015/16,Number of people in treatment,Tower Hamlets,,Units,Count,635
2016/17,Number of people in treatment,Tower Hamlets,,Units,Count,610
2017/18,Number of people in treatment,Tower Hamlets,,Units,Count,705
2018/19,Number of people in treatment,Tower Hamlets,,Units,Count,693
2018/19,Number of people in treatment,Tower Hamlets,,Units,Count,690
2010/11,Estimated prevalence,Trafford,,Units,Number,2263
2011/12,Estimated prevalence,Trafford,,Units,Number,2253
2012/13,Estimated prevalence,Trafford,,Units,Number,2232
2013/14,Estimated prevalence,Trafford,,Units,Number,2336
2014/15,Estimated prevalence,Trafford,,Units,Number,2330
2015/16,Estimated prevalence,Trafford,,Units,Number,2128
2016/17,Estimated prevalence,Trafford,,Units,Number,2219
2017/18,Estimated prevalence,Trafford,,Units,Number,2149
2018/19,Estimated prevalence,Trafford,,Units,Number,2165.333333
2010/11,Met need (%),Trafford,,Units,Percentage (%),15.46619532
2011/12,Met need (%),Trafford,,Units,Percentage (%),18.86373724
2012/13,Met need (%),Trafford,,Units,Percentage (%),23.52150538
2013/14,Met need (%),Trafford,,Units,Percentage (%),28.03938356
2014/15,Met need (%),Trafford,,Units,Percentage (%),30.25751073
2015/16,Met need (%),Trafford,,Units,Percentage (%),27.2556391
2016/17,Met need (%),Trafford,,Units,Percentage (%),22.08201893
2017/18,Met need (%),Trafford,,Units,Percentage (%),22.10330386
2018/19,Met need (%),Trafford,,Units,Percentage (%),23.2296798
2010/11,Number of people in treatment,Trafford,,Units,Count,350
2011/12,Number of people in treatment,Trafford,,Units,Count,425
2012/13,Number of people in treatment,Trafford,,Units,Count,525
2013/14,Number of people in treatment,Trafford,,Units,Count,655
2014/15,Number of people in treatment,Trafford,,Units,Count,705
2015/16,Number of people in treatment,Trafford,,Units,Count,580
2016/17,Number of people in treatment,Trafford,,Units,Count,490
2017/18,Number of people in treatment,Trafford,,Units,Count,475
2018/19,Number of people in treatment,Trafford,,Units,Count,503
2018/19,Number of people in treatment,Trafford,,Units,Count,505
2010/11,Estimated prevalence,Wakefield,,Units,Number,4322
2011/12,Estimated prevalence,Wakefield,,Units,Number,4321
2012/13,Estimated prevalence,Wakefield,,Units,Number,4366
2013/14,Estimated prevalence,Wakefield,,Units,Number,4530
2014/15,Estimated prevalence,Wakefield,,Units,Number,4500
2015/16,Estimated prevalence,Wakefield,,Units,Number,4154
2016/17,Estimated prevalence,Wakefield,,Units,Number,3985
2017/18,Estimated prevalence,Wakefield,,Units,Number,4312
2018/19,Estimated prevalence,Wakefield,,Units,Number,4150.333333
2010/11,Met need (%),Wakefield,,Units,Percentage (%),25.33549283
2011/12,Met need (%),Wakefield,,Units,Percentage (%),19.78708632
2012/13,Met need (%),Wakefield,,Units,Percentage (%),22.56069629
2013/14,Met need (%),Wakefield,,Units,Percentage (%),21.96467991
2014/15,Met need (%),Wakefield,,Units,Percentage (%),19.55555556
2015/16,Met need (%),Wakefield,,Units,Percentage (%),15.76793452
2016/17,Met need (%),Wakefield,,Units,Percentage (%),16.06022585
2017/18,Met need (%),Wakefield,,Units,Percentage (%),14.84230056
2018/19,Met need (%),Wakefield,,Units,Percentage (%),15.85414826
2010/11,Number of people in treatment,Wakefield,,Units,Count,1095
2011/12,Number of people in treatment,Wakefield,,Units,Count,855
2012/13,Number of people in treatment,Wakefield,,Units,Count,985
2013/14,Number of people in treatment,Wakefield,,Units,Count,995
2014/15,Number of people in treatment,Wakefield,,Units,Count,880
2015/16,Number of people in treatment,Wakefield,,Units,Count,655
2016/17,Number of people in treatment,Wakefield,,Units,Count,640
2017/18,Number of people in treatment,Wakefield,,Units,Count,640
2018/19,Number of people in treatment,Wakefield,,Units,Count,658
2018/19,Number of people in treatment,Wakefield,,Units,Count,660
2010/11,Estimated prevalence,Walsall,,Units,Number,3242
2011/12,Estimated prevalence,Walsall,,Units,Number,3276
2012/13,Estimated prevalence,Walsall,,Units,Number,3246
2013/14,Estimated prevalence,Walsall,,Units,Number,3335
2014/15,Estimated prevalence,Walsall,,Units,Number,3364
2015/16,Estimated prevalence,Walsall,,Units,Number,3451
2016/17,Estimated prevalence,Walsall,,Units,Number,3360
2017/18,Estimated prevalence,Walsall,,Units,Number,3559
2018/19,Estimated prevalence,Walsall,,Units,Number,3456.666667
2010/11,Met need (%),Walsall,,Units,Percentage (%),18.50709439
2011/12,Met need (%),Walsall,,Units,Percentage (%),15.41514042
2012/13,Met need (%),Walsall,,Units,Percentage (%),14.78743068
2013/14,Met need (%),Walsall,,Units,Percentage (%),13.79310345
2014/15,Met need (%),Walsall,,Units,Percentage (%),13.5255648
2015/16,Met need (%),Walsall,,Units,Percentage (%),9.417560127
2016/17,Met need (%),Walsall,,Units,Percentage (%),15.0297619
2017/18,Met need (%),Walsall,,Units,Percentage (%),15.87524586
2018/19,Met need (%),Walsall,,Units,Percentage (%),14.75409836
2010/11,Number of people in treatment,Walsall,,Units,Count,600
2011/12,Number of people in treatment,Walsall,,Units,Count,505
2012/13,Number of people in treatment,Walsall,,Units,Count,480
2013/14,Number of people in treatment,Walsall,,Units,Count,460
2014/15,Number of people in treatment,Walsall,,Units,Count,455
2015/16,Number of people in treatment,Walsall,,Units,Count,325
2016/17,Number of people in treatment,Walsall,,Units,Count,505
2017/18,Number of people in treatment,Walsall,,Units,Count,565
2018/19,Number of people in treatment,Walsall,,Units,Count,510
2010/11,Estimated prevalence,Waltham Forest,,Units,Number,2904
2011/12,Estimated prevalence,Waltham Forest,,Units,Number,2889
2012/13,Estimated prevalence,Waltham Forest,,Units,Number,2898
2013/14,Estimated prevalence,Waltham Forest,,Units,Number,2982
2014/15,Estimated prevalence,Waltham Forest,,Units,Number,2948
2015/16,Estimated prevalence,Waltham Forest,,Units,Number,2915
2016/17,Estimated prevalence,Waltham Forest,,Units,Number,3116
2017/18,Estimated prevalence,Waltham Forest,,Units,Number,2935
2018/19,Estimated prevalence,Waltham Forest,,Units,Number,2988.666667
2010/11,Met need (%),Waltham Forest,,Units,Percentage (%),20.66115702
2011/12,Met need (%),Waltham Forest,,Units,Percentage (%),20.07615092
2012/13,Met need (%),Waltham Forest,,Units,Percentage (%),20.87646653
2013/14,Met need (%),Waltham Forest,,Units,Percentage (%),21.62977867
2014/15,Met need (%),Waltham Forest,,Units,Percentage (%),20.69199457
2015/16,Met need (%),Waltham Forest,,Units,Percentage (%),15.26586621
2016/17,Met need (%),Waltham Forest,,Units,Percentage (%),9.467265725
2017/18,Met need (%),Waltham Forest,,Units,Percentage (%),9.540034072
2018/19,Met need (%),Waltham Forest,,Units,Percentage (%),16.29489181
2010/11,Number of people in treatment,Waltham Forest,,Units,Count,600
2011/12,Number of people in treatment,Waltham Forest,,Units,Count,580
2012/13,Number of people in treatment,Waltham Forest,,Units,Count,605
2013/14,Number of people in treatment,Waltham Forest,,Units,Count,645
2014/15,Number of people in treatment,Waltham Forest,,Units,Count,610
2015/16,Number of people in treatment,Waltham Forest,,Units,Count,445
2016/17,Number of people in treatment,Waltham Forest,,Units,Count,295
2017/18,Number of people in treatment,Waltham Forest,,Units,Count,280
2018/19,Number of people in treatment,Waltham Forest,,Units,Count,487
2018/19,Number of people in treatment,Waltham Forest,,Units,Count,490
2010/11,Estimated prevalence,Wandsworth,,Units,Number,3688
2011/12,Estimated prevalence,Wandsworth,,Units,Number,3685
2012/13,Estimated prevalence,Wandsworth,,Units,Number,3701
2013/14,Estimated prevalence,Wandsworth,,Units,Number,3776
2014/15,Estimated prevalence,Wandsworth,,Units,Number,3743
2015/16,Estimated prevalence,Wandsworth,,Units,Number,3792
2016/17,Estimated prevalence,Wandsworth,,Units,Number,3589
2017/18,Estimated prevalence,Wandsworth,,Units,Number,3662
2018/19,Estimated prevalence,Wandsworth,,Units,Number,3681
2010/11,Met need (%),Wandsworth,,Units,Percentage (%),25.62364425
2011/12,Met need (%),Wandsworth,,Units,Percentage (%),23.20217096
2012/13,Met need (%),Wandsworth,,Units,Percentage (%),19.72439881
2013/14,Met need (%),Wandsworth,,Units,Percentage (%),25.68855932
2014/15,Met need (%),Wandsworth,,Units,Percentage (%),22.30830884
2015/16,Met need (%),Wandsworth,,Units,Percentage (%),18.32805907
2016/17,Met need (%),Wandsworth,,Units,Percentage (%),21.59375871
2017/18,Met need (%),Wandsworth,,Units,Percentage (%),22.80174768
2018/19,Met need (%),Wandsworth,,Units,Percentage (%),21.02689487
2010/11,Number of people in treatment,Wandsworth,,Units,Count,945
2011/12,Number of people in treatment,Wandsworth,,Units,Count,855
2012/13,Number of people in treatment,Wandsworth,,Units,Count,730
2013/14,Number of people in treatment,Wandsworth,,Units,Count,970
2014/15,Number of people in treatment,Wandsworth,,Units,Count,835
2015/16,Number of people in treatment,Wandsworth,,Units,Count,695
2016/17,Number of people in treatment,Wandsworth,,Units,Count,775
2017/18,Number of people in treatment,Wandsworth,,Units,Count,835
2018/19,Number of people in treatment,Wandsworth,,Units,Count,774
2018/19,Number of people in treatment,Wandsworth,,Units,Count,775
2010/11,Estimated prevalence,Warrington,,Units,Number,2355
2011/12,Estimated prevalence,Warrington,,Units,Number,2320
2012/13,Estimated prevalence,Warrington,,Units,Number,2321
2013/14,Estimated prevalence,Warrington,,Units,Number,2381
2014/15,Estimated prevalence,Warrington,,Units,Number,2380
2015/16,Estimated prevalence,Warrington,,Units,Number,2286
2016/17,Estimated prevalence,Warrington,,Units,Number,2300
2017/18,Estimated prevalence,Warrington,,Units,Number,2236
2018/19,Estimated prevalence,Warrington,,Units,Number,2274
2010/11,Met need (%),Warrington,,Units,Percentage (%),31.63481953
2011/12,Met need (%),Warrington,,Units,Percentage (%),32.32758621
2012/13,Met need (%),Warrington,,Units,Percentage (%),29.2977165
2013/14,Met need (%),Warrington,,Units,Percentage (%),26.66946661
2014/15,Met need (%),Warrington,,Units,Percentage (%),29.41176471
2015/16,Met need (%),Warrington,,Units,Percentage (%),29.52755906
2016/17,Met need (%),Warrington,,Units,Percentage (%),31.30434783
2017/18,Met need (%),Warrington,,Units,Percentage (%),28.39892665
2018/19,Met need (%),Warrington,,Units,Percentage (%),23.6587511
2010/11,Number of people in treatment,Warrington,,Units,Count,745
2011/12,Number of people in treatment,Warrington,,Units,Count,750
2012/13,Number of people in treatment,Warrington,,Units,Count,680
2013/14,Number of people in treatment,Warrington,,Units,Count,635
2014/15,Number of people in treatment,Warrington,,Units,Count,700
2015/16,Number of people in treatment,Warrington,,Units,Count,675
2016/17,Number of people in treatment,Warrington,,Units,Count,720
2017/18,Number of people in treatment,Warrington,,Units,Count,635
2018/19,Number of people in treatment,Warrington,,Units,Count,538
2018/19,Number of people in treatment,Warrington,,Units,Count,540
2010/11,Estimated prevalence,Warwickshire,,Units,Number,4880
2011/12,Estimated prevalence,Warwickshire,,Units,Number,4827
2012/13,Estimated prevalence,Warwickshire,,Units,Number,4839
2013/14,Estimated prevalence,Warwickshire,,Units,Number,4961
2014/15,Estimated prevalence,Warwickshire,,Units,Number,4937
2015/16,Estimated prevalence,Warwickshire,,Units,Number,5053
2016/17,Estimated prevalence,Warwickshire,,Units,Number,5007
2017/18,Estimated prevalence,Warwickshire,,Units,Number,5028
2018/19,Estimated prevalence,Warwickshire,,Units,Number,5029.333333
2010/11,Met need (%),Warwickshire,,Units,Percentage (%),22.02868852
2011/12,Met need (%),Warwickshire,,Units,Percentage (%),18.64512119
2012/13,Met need (%),Warwickshire,,Units,Percentage (%),20.04546394
2013/14,Met need (%),Warwickshire,,Units,Percentage (%),24.59181617
2014/15,Met need (%),Warwickshire,,Units,Percentage (%),22.78711768
2015/16,Met need (%),Warwickshire,,Units,Percentage (%),19.39441916
2016/17,Met need (%),Warwickshire,,Units,Percentage (%),19.87217895
2017/18,Met need (%),Warwickshire,,Units,Percentage (%),18.99363564
2018/19,Met need (%),Warwickshire,,Units,Percentage (%),20.10206787
2010/11,Number of people in treatment,Warwickshire,,Units,Count,1075
2011/12,Number of people in treatment,Warwickshire,,Units,Count,900
2012/13,Number of people in treatment,Warwickshire,,Units,Count,970
2013/14,Number of people in treatment,Warwickshire,,Units,Count,1220
2014/15,Number of people in treatment,Warwickshire,,Units,Count,1125
2015/16,Number of people in treatment,Warwickshire,,Units,Count,980
2016/17,Number of people in treatment,Warwickshire,,Units,Count,995
2017/18,Number of people in treatment,Warwickshire,,Units,Count,955
2018/19,Number of people in treatment,Warwickshire,,Units,Count,1011
2018/19,Number of people in treatment,Warwickshire,,Units,Count,1015
2010/11,Estimated prevalence,West Berkshire,,Units,Number,1055
2011/12,Estimated prevalence,West Berkshire,,Units,Number,1058
2012/13,Estimated prevalence,West Berkshire,,Units,Number,1056
2013/14,Estimated prevalence,West Berkshire,,Units,Number,1078
2014/15,Estimated prevalence,West Berkshire,,Units,Number,1074
2015/16,Estimated prevalence,West Berkshire,,Units,Number,1141
2016/17,Estimated prevalence,West Berkshire,,Units,Number,1142
2017/18,Estimated prevalence,West Berkshire,,Units,Number,1207
2018/19,Estimated prevalence,West Berkshire,,Units,Number,1163.333333
2010/11,Met need (%),West Berkshire,,Units,Percentage (%),5.213270142
2011/12,Met need (%),West Berkshire,,Units,Percentage (%),15.59546314
2012/13,Met need (%),West Berkshire,,Units,Percentage (%),16.5719697
2013/14,Met need (%),West Berkshire,,Units,Percentage (%),11.13172542
2014/15,Met need (%),West Berkshire,,Units,Percentage (%),13.03538175
2015/16,Met need (%),West Berkshire,,Units,Percentage (%),12.70815074
2016/17,Met need (%),West Berkshire,,Units,Percentage (%),12.2591944
2017/18,Met need (%),West Berkshire,,Units,Percentage (%),14.08450704
2018/19,Met need (%),West Berkshire,,Units,Percentage (%),15.98853868
2010/11,Number of people in treatment,West Berkshire,,Units,Count,55
2011/12,Number of people in treatment,West Berkshire,,Units,Count,165
2012/13,Number of people in treatment,West Berkshire,,Units,Count,175
2013/14,Number of people in treatment,West Berkshire,,Units,Count,120
2014/15,Number of people in treatment,West Berkshire,,Units,Count,140
2015/16,Number of people in treatment,West Berkshire,,Units,Count,145
2016/17,Number of people in treatment,West Berkshire,,Units,Count,140
2017/18,Number of people in treatment,West Berkshire,,Units,Count,170
2018/19,Number of people in treatment,West Berkshire,,Units,Count,185.9999997
2018/19,Number of people in treatment,West Berkshire,,Units,Count,185
2010/11,Estimated prevalence,West Sussex,,Units,Number,6837
2011/12,Estimated prevalence,West Sussex,,Units,Number,6837
2012/13,Estimated prevalence,West Sussex,,Units,Number,6824
2013/14,Estimated prevalence,West Sussex,,Units,Number,6986
2014/15,Estimated prevalence,West Sussex,,Units,Number,6967
2015/16,Estimated prevalence,West Sussex,,Units,Number,7276
2016/17,Estimated prevalence,West Sussex,,Units,Number,7096
2017/18,Estimated prevalence,West Sussex,,Units,Number,7071
